v2	V(ds)	I(R1)
1.031000000000001e+000	7.485714e-003	1.931159e-004
1.041000000000001e+000	7.561131e-003	1.949885e-004
1.051000000000001e+000	7.636607e-003	1.968610e-004
1.061000000000001e+000	7.712141e-003	1.987336e-004
1.071000000000001e+000	7.787734e-003	2.006061e-004
1.081000000000001e+000	7.863386e-003	2.024786e-004
1.091000000000001e+000	7.939096e-003	2.043511e-004
1.101000000000001e+000	8.014865e-003	2.062236e-004
1.111000000000001e+000	8.090694e-003	2.080961e-004
1.121000000000001e+000	8.166581e-003	2.099686e-004
1.131000000000001e+000	8.242529e-003	2.118410e-004
1.141000000000001e+000	8.318536e-003	2.137135e-004
1.151000000000001e+000	8.394603e-003	2.155859e-004
1.161000000000001e+000	8.470729e-003	2.174583e-004
1.171000000000001e+000	8.546916e-003	2.193308e-004
1.181000000000001e+000	8.623162e-003	2.212032e-004
1.191000000000001e+000	8.699469e-003	2.230756e-004
1.201000000000001e+000	8.775837e-003	2.249480e-004
1.211000000000001e+000	8.852266e-003	2.268203e-004
1.221000000000001e+000	8.928754e-003	2.286927e-004
1.231000000000001e+000	9.005304e-003	2.305650e-004
1.241000000000001e+000	9.081915e-003	2.324374e-004
1.251000000000001e+000	9.158587e-003	2.343097e-004
1.261000000000001e+000	9.235321e-003	2.361820e-004
1.271000000000001e+000	9.312115e-003	2.380543e-004
1.281000000000001e+000	9.388971e-003	2.399266e-004
1.291000000000001e+000	9.465890e-003	2.417989e-004
1.301000000000001e+000	9.542870e-003	2.436712e-004
1.311000000000001e+000	9.619912e-003	2.455434e-004
1.321000000000001e+000	9.697017e-003	2.474156e-004
1.331000000000001e+000	9.774184e-003	2.492879e-004
1.341000000000001e+000	9.851413e-003	2.511601e-004
1.351000000000001e+000	9.928705e-003	2.530323e-004
1.361000000000001e+000	1.000606e-002	2.549045e-004
1.371000000000001e+000	1.008348e-002	2.567767e-004
1.381000000000001e+000	1.016096e-002	2.586489e-004
1.391000000000001e+000	1.023850e-002	2.605210e-004
1.401000000000001e+000	1.031611e-002	2.623932e-004
1.411000000000001e+000	1.039378e-002	2.642653e-004
1.421000000000001e+000	1.047152e-002	2.661374e-004
1.431000000000001e+000	1.054932e-002	2.680095e-004
1.441000000000001e+000	1.062718e-002	2.698817e-004
1.451000000000001e+000	1.070511e-002	2.717538e-004
1.461000000000001e+000	1.078310e-002	2.736258e-004
1.471000000000001e+000	1.086116e-002	2.754979e-004
1.481000000000001e+000	1.093928e-002	2.773700e-004
1.491000000000001e+000	1.101747e-002	2.792420e-004
1.501000000000001e+000	1.109572e-002	2.811140e-004
1.511000000000001e+000	1.117403e-002	2.829860e-004
1.521000000000001e+000	1.125242e-002	2.848580e-004
1.531000000000001e+000	1.133086e-002	2.867300e-004
1.541000000000001e+000	1.140938e-002	2.886020e-004
1.551000000000001e+000	1.148796e-002	2.904740e-004
1.561000000000001e+000	1.156660e-002	2.923459e-004
1.571000000000001e+000	1.164531e-002	2.942179e-004
1.581000000000001e+000	1.172409e-002	2.960898e-004
1.591000000000001e+000	1.180294e-002	2.979617e-004
1.601000000000001e+000	1.188185e-002	2.998336e-004
1.611000000000001e+000	1.196083e-002	3.017055e-004
1.621000000000001e+000	1.203987e-002	3.035774e-004
1.631000000000001e+000	1.211898e-002	3.054492e-004
1.641000000000001e+000	1.219816e-002	3.073211e-004
1.651000000000001e+000	1.227741e-002	3.091930e-004
1.661000000000001e+000	1.235673e-002	3.110648e-004
1.671000000000001e+000	1.243611e-002	3.129366e-004
1.681000000000001e+000	1.251556e-002	3.148084e-004
1.691000000000001e+000	1.259508e-002	3.166802e-004
1.701000000000001e+000	1.267467e-002	3.185520e-004
1.711000000000001e+000	1.275433e-002	3.204237e-004
1.721000000000001e+000	1.283405e-002	3.222955e-004
1.731000000000001e+000	1.291385e-002	3.241672e-004
1.741000000000001e+000	1.299371e-002	3.260389e-004
1.751000000000001e+000	1.307365e-002	3.279106e-004
1.761000000000001e+000	1.315365e-002	3.297823e-004
1.771000000000001e+000	1.323372e-002	3.316540e-004
1.781000000000001e+000	1.331386e-002	3.335257e-004
1.791000000000001e+000	1.339408e-002	3.353973e-004
1.801000000000001e+000	1.347436e-002	3.372690e-004
1.811000000000001e+000	1.355471e-002	3.391406e-004
1.821000000000001e+000	1.363514e-002	3.410122e-004
1.831000000000001e+000	1.371563e-002	3.428838e-004
1.841000000000001e+000	1.379620e-002	3.447554e-004
1.851000000000001e+000	1.387684e-002	3.466270e-004
1.861000000000001e+000	1.395755e-002	3.484986e-004
1.871000000000001e+000	1.403833e-002	3.503701e-004
1.881000000000001e+000	1.411918e-002	3.522417e-004
1.891000000000001e+000	1.420011e-002	3.541132e-004
1.901000000000001e+000	1.428110e-002	3.559847e-004
1.911000000000001e+000	1.436217e-002	3.578562e-004
1.921000000000001e+000	1.444331e-002	3.597277e-004
1.931000000000001e+000	1.452453e-002	3.615991e-004
1.941000000000001e+000	1.460582e-002	3.634706e-004
1.951000000000001e+000	1.468718e-002	3.653420e-004
1.961000000000001e+000	1.476861e-002	3.672135e-004
1.971000000000001e+000	1.485012e-002	3.690849e-004
1.981000000000001e+000	1.493170e-002	3.709563e-004
1.991000000000001e+000	1.501336e-002	3.728277e-004
2.001000000000001e+000	1.509509e-002	3.746990e-004
2.011000000000001e+000	1.517689e-002	3.765704e-004
2.021000000000001e+000	1.525877e-002	3.784417e-004
2.031000000000001e+000	1.534072e-002	3.803131e-004
2.041000000000000e+000	1.542275e-002	3.821844e-004
2.051000000000000e+000	1.550486e-002	3.840557e-004
2.061000000000000e+000	1.558703e-002	3.859270e-004
2.071000000000000e+000	1.566929e-002	3.877982e-004
2.081000000000000e+000	1.575162e-002	3.896695e-004
2.090999999999999e+000	1.583403e-002	3.915408e-004
2.100999999999999e+000	1.591651e-002	3.934120e-004
2.110999999999999e+000	1.599907e-002	3.952832e-004
2.120999999999999e+000	1.608171e-002	3.971544e-004
2.130999999999999e+000	1.616442e-002	3.990256e-004
2.140999999999998e+000	1.624721e-002	4.008968e-004
2.150999999999998e+000	1.633008e-002	4.027679e-004
2.160999999999998e+000	1.641303e-002	4.046391e-004
2.170999999999998e+000	1.649605e-002	4.065102e-004
2.180999999999997e+000	1.657915e-002	4.083813e-004
2.190999999999997e+000	1.666233e-002	4.102524e-004
2.200999999999997e+000	1.674559e-002	4.121235e-004
2.210999999999997e+000	1.682893e-002	4.139945e-004
2.220999999999997e+000	1.691234e-002	4.158656e-004
2.230999999999996e+000	1.699584e-002	4.177366e-004
2.240999999999996e+000	1.707941e-002	4.196076e-004
2.250999999999996e+000	1.716307e-002	4.214787e-004
2.260999999999996e+000	1.724680e-002	4.233497e-004
2.270999999999996e+000	1.733061e-002	4.252206e-004
2.280999999999995e+000	1.741451e-002	4.270916e-004
2.290999999999995e+000	1.749848e-002	4.289626e-004
2.300999999999995e+000	1.758254e-002	4.308335e-004
2.310999999999995e+000	1.766668e-002	4.327044e-004
2.320999999999994e+000	1.775089e-002	4.345753e-004
2.330999999999994e+000	1.783519e-002	4.364462e-004
2.340999999999994e+000	1.791957e-002	4.383171e-004
2.350999999999994e+000	1.800404e-002	4.401879e-004
2.360999999999994e+000	1.808858e-002	4.420588e-004
2.370999999999993e+000	1.817321e-002	4.439296e-004
2.380999999999993e+000	1.825792e-002	4.458004e-004
2.390999999999993e+000	1.834271e-002	4.476712e-004
2.400999999999993e+000	1.842759e-002	4.495420e-004
2.410999999999993e+000	1.851255e-002	4.514127e-004
2.420999999999992e+000	1.859759e-002	4.532835e-004
2.430999999999992e+000	1.868272e-002	4.551542e-004
2.440999999999992e+000	1.876793e-002	4.570249e-004
2.450999999999992e+000	1.885323e-002	4.588956e-004
2.460999999999991e+000	1.893861e-002	4.607663e-004
2.470999999999991e+000	1.902407e-002	4.626370e-004
2.480999999999991e+000	1.910963e-002	4.645076e-004
2.490999999999991e+000	1.919526e-002	4.663783e-004
2.500999999999991e+000	1.928098e-002	4.682489e-004
2.510999999999990e+000	1.936679e-002	4.701195e-004
2.520999999999990e+000	1.945269e-002	4.719901e-004
2.530999999999990e+000	1.953867e-002	4.738606e-004
2.540999999999990e+000	1.962473e-002	4.757312e-004
2.550999999999990e+000	1.971089e-002	4.776017e-004
2.560999999999989e+000	1.979713e-002	4.794722e-004
2.570999999999989e+000	1.988346e-002	4.813428e-004
2.580999999999989e+000	1.996987e-002	4.832132e-004
2.590999999999989e+000	2.005638e-002	4.850837e-004
2.600999999999988e+000	2.014297e-002	4.869541e-004
2.610999999999988e+000	2.022966e-002	4.888246e-004
2.620999999999988e+000	2.031643e-002	4.906950e-004
2.630999999999988e+000	2.040329e-002	4.925654e-004
2.640999999999988e+000	2.049024e-002	4.944358e-004
2.650999999999987e+000	2.057728e-002	4.963062e-004
2.660999999999987e+000	2.066441e-002	4.981766e-004
2.670999999999987e+000	2.075163e-002	5.000469e-004
2.680999999999987e+000	2.083894e-002	5.019172e-004
2.690999999999987e+000	2.092634e-002	5.037875e-004
2.700999999999986e+000	2.101383e-002	5.056578e-004
2.710999999999986e+000	2.110141e-002	5.075280e-004
2.720999999999986e+000	2.118909e-002	5.093983e-004
2.730999999999986e+000	2.127686e-002	5.112685e-004
2.740999999999985e+000	2.136472e-002	5.131387e-004
2.750999999999985e+000	2.145267e-002	5.150089e-004
2.760999999999985e+000	2.154071e-002	5.168791e-004
2.770999999999985e+000	2.162885e-002	5.187493e-004
2.780999999999985e+000	2.171708e-002	5.206194e-004
2.790999999999984e+000	2.180541e-002	5.224895e-004
2.800999999999984e+000	2.189383e-002	5.243596e-004
2.810999999999984e+000	2.198235e-002	5.262297e-004
2.820999999999984e+000	2.207096e-002	5.280998e-004
2.830999999999984e+000	2.215966e-002	5.299699e-004
2.840999999999983e+000	2.224846e-002	5.318399e-004
2.850999999999983e+000	2.233735e-002	5.337099e-004
2.860999999999983e+000	2.242634e-002	5.355799e-004
2.870999999999983e+000	2.251543e-002	5.374499e-004
2.880999999999983e+000	2.260462e-002	5.393199e-004
2.890999999999982e+000	2.269390e-002	5.411898e-004
2.900999999999982e+000	2.278328e-002	5.430598e-004
2.910999999999982e+000	2.287275e-002	5.449296e-004
2.920999999999982e+000	2.296232e-002	5.467996e-004
2.930999999999981e+000	2.305200e-002	5.486694e-004
