vdd	V(ds)	Id(M1)
1.029999999999998e+001	1.030000e+001	1.268304e-003
1.039999999999998e+001	1.040000e+001	1.268341e-003
1.049999999999998e+001	1.050000e+001	1.268378e-003
1.059999999999998e+001	1.060000e+001	1.268415e-003
1.069999999999998e+001	1.070000e+001	1.268453e-003
1.079999999999998e+001	1.080000e+001	1.268490e-003
1.089999999999998e+001	1.090000e+001	1.268527e-003
1.099999999999998e+001	1.100000e+001	1.268565e-003
1.109999999999998e+001	1.110000e+001	1.268602e-003
1.119999999999998e+001	1.120000e+001	1.268639e-003
1.129999999999998e+001	1.130000e+001	1.268677e-003
1.139999999999998e+001	1.140000e+001	1.268714e-003
1.149999999999998e+001	1.150000e+001	1.268751e-003
1.159999999999998e+001	1.160000e+001	1.268788e-003
1.169999999999997e+001	1.170000e+001	1.268826e-003
1.179999999999997e+001	1.180000e+001	1.268863e-003
1.189999999999997e+001	1.190000e+001	1.268900e-003
1.199999999999997e+001	1.200000e+001	1.268938e-003
1.209999999999997e+001	1.210000e+001	1.268975e-003
1.219999999999997e+001	1.220000e+001	1.269012e-003
1.229999999999997e+001	1.230000e+001	1.269050e-003
1.239999999999997e+001	1.240000e+001	1.269087e-003
1.249999999999997e+001	1.250000e+001	1.269124e-003
1.259999999999997e+001	1.260000e+001	1.269162e-003
1.269999999999997e+001	1.270000e+001	1.269199e-003
1.279999999999997e+001	1.280000e+001	1.269236e-003
1.289999999999997e+001	1.290000e+001	1.269273e-003
1.299999999999997e+001	1.300000e+001	1.269311e-003
1.309999999999997e+001	1.310000e+001	1.269348e-003
1.319999999999997e+001	1.320000e+001	1.269385e-003
1.329999999999997e+001	1.330000e+001	1.269423e-003
1.339999999999997e+001	1.340000e+001	1.269460e-003
1.349999999999997e+001	1.350000e+001	1.269497e-003
1.359999999999997e+001	1.360000e+001	1.269535e-003
1.369999999999997e+001	1.370000e+001	1.269572e-003
1.379999999999997e+001	1.380000e+001	1.269609e-003
1.389999999999997e+001	1.390000e+001	1.269647e-003
1.399999999999997e+001	1.400000e+001	1.269684e-003
1.409999999999997e+001	1.410000e+001	1.269721e-003
