vin	V(be)	Ib(Q1)	Ic(Q1)	Ic(Q1)/Ib(Q1)
3.500000000000002e-001	3.500000e-001	7.363543e-011	1.713962e-008	2.327633e+002
3.550000000000002e-001	3.550000e-001	8.834133e-011	2.075659e-008	2.349590e+002
3.600000000000002e-001	3.600000e-001	1.059139e-010	2.513706e-008	2.373347e+002
3.650000000000002e-001	3.650000e-001	1.269276e-010	3.044217e-008	2.398389e+002
3.700000000000002e-001	3.700000e-001	1.520731e-010	3.686711e-008	2.424302e+002
3.750000000000002e-001	3.750000e-001	1.821828e-010	4.464825e-008	2.450738e+002
3.800000000000002e-001	3.800000e-001	2.182595e-010	5.407183e-008	2.477410e+002
3.850000000000002e-001	3.849999e-001	2.615117e-010	6.548453e-008	2.504076e+002
3.900000000000002e-001	3.899999e-001	3.133962e-010	7.930619e-008	2.530541e+002
3.950000000000002e-001	3.949999e-001	3.756698e-010	9.604525e-008	2.556640e+002
4.000000000000002e-001	3.999999e-001	4.504515e-010	1.163174e-007	2.582241e+002
4.050000000000003e-001	4.049999e-001	5.402981e-010	1.408684e-007	2.607235e+002
4.100000000000003e-001	4.099998e-001	6.482953e-010	1.706012e-007	2.631535e+002
4.150000000000003e-001	4.149998e-001	7.781675e-010	2.066093e-007	2.655075e+002
4.200000000000003e-001	4.199998e-001	9.344114e-010	2.502169e-007	2.677802e+002
4.250000000000003e-001	4.249997e-001	1.122457e-009	3.030275e-007	2.699679e+002
4.300000000000003e-001	4.299997e-001	1.348864e-009	3.669829e-007	2.720680e+002
4.350000000000003e-001	4.349996e-001	1.621556e-009	4.444341e-007	2.740788e+002
4.400000000000003e-001	4.399996e-001	1.950105e-009	5.382281e-007	2.759995e+002
4.450000000000003e-001	4.449995e-001	2.346081e-009	6.518113e-007	2.778299e+002
4.500000000000003e-001	4.499994e-001	2.823465e-009	7.893569e-007	2.795703e+002
4.550000000000003e-001	4.549992e-001	3.399158e-009	9.559166e-007	2.812216e+002
4.600000000000003e-001	4.599991e-001	4.093591e-009	1.157605e-006	2.827848e+002
4.650000000000003e-001	4.649989e-001	4.931467e-009	1.401825e-006	2.842612e+002
4.700000000000003e-001	4.699987e-001	5.942656e-009	1.697532e-006	2.856522e+002
4.750000000000003e-001	4.749984e-001	7.163277e-009	2.055567e-006	2.869590e+002
4.800000000000003e-001	4.799981e-001	8.637015e-009	2.489041e-006	2.881831e+002
4.850000000000003e-001	4.849977e-001	1.041670e-008	3.013816e-006	2.893254e+002
4.900000000000003e-001	4.899972e-001	1.256624e-008	3.649071e-006	2.903868e+002
4.950000000000003e-001	4.949967e-001	1.516294e-008	4.417989e-006	2.913676e+002
5.000000000000003e-001	4.999960e-001	1.830029e-008	5.348584e-006	2.922677e+002
5.050000000000003e-001	5.049952e-001	2.209141e-008	6.474691e-006	2.930864e+002
5.100000000000003e-001	5.099941e-001	2.667311e-008	7.837149e-006	2.938221e+002
5.150000000000004e-001	5.149929e-001	3.221091e-008	9.485222e-006	2.944723e+002
5.200000000000004e-001	5.199915e-001	3.890501e-008	1.147828e-005	2.950334e+002
5.250000000000004e-001	5.249897e-001	4.699757e-008	1.388779e-005	2.955002e+002
5.300000000000004e-001	5.299875e-001	5.678144e-008	1.679970e-005	2.958661e+002
5.350000000000004e-001	5.349849e-001	6.861080e-008	2.031720e-005	2.961225e+002
5.400000000000004e-001	5.399818e-001	8.291386e-008	2.456393e-005	2.962584e+002
5.450000000000004e-001	5.449780e-001	1.002083e-007	2.968773e-005	2.962602e+002
5.500000000000004e-001	5.499734e-001	1.211198e-007	3.586489e-005	2.961110e+002
5.550000000000004e-001	5.549678e-001	1.464041e-007	4.330491e-005	2.957903e+002
5.600000000000004e-001	5.599611e-001	1.769742e-007	5.225576e-005	2.952734e+002
5.650000000000004e-001	5.649529e-001	2.139321e-007	6.300951e-005	2.945305e+002
5.700000000000004e-001	5.699431e-001	2.586072e-007	7.590806e-005	2.935265e+002
5.750000000000004e-001	5.749312e-001	3.126026e-007	9.134876e-005	2.922201e+002
5.800000000000004e-001	5.799169e-001	3.778493e-007	1.097892e-004	2.905633e+002
5.850000000000004e-001	5.848995e-001	4.566712e-007	1.317503e-004	2.885014e+002
5.900000000000004e-001	5.898786e-001	5.518622e-007	1.578172e-004	2.859722e+002
5.950000000000004e-001	5.948533e-001	6.667761e-007	1.886357e-004	2.829071e+002
6.000000000000004e-001	5.995123e-001	2.216935e-006	2.143557e-004	9.669012e+001
6.050000000000004e-001	6.033925e-001	7.306973e-006	2.159922e-004	2.955973e+001
6.100000000000004e-001	6.071423e-001	1.298965e-005	2.165731e-004	1.667274e+001
6.150000000000004e-001	6.107653e-001	1.924837e-005	2.169055e-004	1.126877e+001
6.200000000000004e-001	6.142579e-001	2.610045e-005	2.171263e-004	8.318870e+000
6.250000000000004e-001	6.176174e-001	3.355753e-005	2.172845e-004	6.474987e+000
6.300000000000005e-001	6.208428e-001	4.162400e-005	2.174033e-004	5.223028e+000
6.350000000000005e-001	6.239346e-001	5.029753e-005	2.174953e-004	4.324175e+000
6.400000000000005e-001	6.268948e-001	5.956984e-005	2.175683e-004	3.652323e+000
6.450000000000005e-001	6.297261e-001	6.942763e-005	2.176271e-004	3.134590e+000
