vin	V(be)	Ic(Q1)
5.150000000000004e-001	5.149929e-001	9.485222e-006
5.200000000000004e-001	5.199915e-001	1.147828e-005
5.250000000000004e-001	5.249897e-001	1.388779e-005
5.300000000000004e-001	5.299875e-001	1.679970e-005
5.350000000000004e-001	5.349849e-001	2.031720e-005
5.400000000000004e-001	5.399818e-001	2.456393e-005
5.450000000000004e-001	5.449780e-001	2.968773e-005
5.500000000000004e-001	5.499734e-001	3.586489e-005
5.550000000000004e-001	5.549678e-001	4.330491e-005
5.600000000000004e-001	5.599611e-001	5.225576e-005
5.650000000000004e-001	5.649529e-001	6.300951e-005
5.700000000000004e-001	5.699431e-001	7.590806e-005
5.750000000000004e-001	5.749312e-001	9.134876e-005
5.800000000000004e-001	5.799169e-001	1.097892e-004
5.850000000000004e-001	5.848995e-001	1.317503e-004
5.900000000000004e-001	5.898786e-001	1.578172e-004
5.950000000000004e-001	5.948533e-001	1.886357e-004
6.000000000000004e-001	5.995123e-001	2.143557e-004
6.050000000000004e-001	6.033925e-001	2.159922e-004
6.100000000000004e-001	6.071423e-001	2.165731e-004
6.150000000000004e-001	6.107653e-001	2.169055e-004
6.200000000000004e-001	6.142579e-001	2.171263e-004
6.250000000000004e-001	6.176174e-001	2.172845e-004
6.300000000000005e-001	6.208428e-001	2.174033e-004
6.350000000000005e-001	6.239346e-001	2.174953e-004
6.400000000000005e-001	6.268948e-001	2.175683e-004
6.450000000000005e-001	6.297261e-001	2.176271e-004
6.500000000000005e-001	6.324323e-001	2.176753e-004
6.550000000000005e-001	6.350181e-001	2.177153e-004
6.600000000000005e-001	6.374884e-001	2.177488e-004
6.650000000000005e-001	6.398484e-001	2.177770e-004
6.700000000000005e-001	6.421037e-001	2.178011e-004
6.750000000000005e-001	6.442597e-001	2.178218e-004
6.800000000000005e-001	6.463218e-001	2.178396e-004
6.850000000000005e-001	6.482955e-001	2.178551e-004
6.900000000000005e-001	6.501857e-001	2.178686e-004
6.950000000000005e-001	6.519974e-001	2.178804e-004
7.000000000000005e-001	6.537355e-001	2.178908e-004
7.050000000000005e-001	6.554041e-001	2.179001e-004
7.100000000000005e-001	6.570075e-001	2.179083e-004
7.150000000000005e-001	6.585497e-001	2.179155e-004
7.200000000000005e-001	6.600342e-001	2.179220e-004
7.250000000000005e-001	6.614645e-001	2.179279e-004
7.300000000000005e-001	6.628438e-001	2.179331e-004
