v2	V(ds)	I(R1)
1.030000000000001e+000	1.517008e-001	8.285841e-004
1.040000000000001e+000	1.532100e-001	8.365944e-004
1.050000000000001e+000	1.547199e-001	8.446039e-004
1.060000000000001e+000	1.562305e-001	8.526127e-004
1.070000000000001e+000	1.577419e-001	8.606208e-004
1.080000000000001e+000	1.592540e-001	8.686283e-004
1.090000000000001e+000	1.607669e-001	8.766350e-004
1.100000000000001e+000	1.622805e-001	8.846410e-004
1.110000000000001e+000	1.637948e-001	8.926464e-004
1.120000000000001e+000	1.653099e-001	9.006510e-004
1.130000000000001e+000	1.668258e-001	9.086549e-004
1.140000000000001e+000	1.683423e-001	9.166582e-004
1.150000000000001e+000	1.698596e-001	9.246607e-004
1.160000000000001e+000	1.713777e-001	9.326625e-004
1.170000000000001e+000	1.728965e-001	9.406637e-004
1.180000000000001e+000	1.744161e-001	9.486641e-004
1.190000000000001e+000	1.759364e-001	9.566638e-004
1.200000000000001e+000	1.774575e-001	9.646628e-004
1.210000000000001e+000	1.789793e-001	9.726611e-004
1.220000000000001e+000	1.805018e-001	9.806587e-004
1.230000000000001e+000	1.820252e-001	9.886555e-004
1.240000000000001e+000	1.835493e-001	9.966516e-004
1.250000000000001e+000	1.850741e-001	1.004647e-003
1.260000000000001e+000	1.865997e-001	1.012642e-003
1.270000000000001e+000	1.881260e-001	1.020636e-003
1.280000000000001e+000	1.896532e-001	1.028629e-003
1.290000000000001e+000	1.911810e-001	1.036622e-003
1.300000000000001e+000	1.927097e-001	1.044614e-003
1.310000000000001e+000	1.942391e-001	1.052605e-003
1.320000000000001e+000	1.957693e-001	1.060595e-003
1.330000000000001e+000	1.973002e-001	1.068585e-003
1.340000000000001e+000	1.988319e-001	1.076574e-003
1.350000000000001e+000	2.003644e-001	1.084562e-003
1.360000000000001e+000	2.018976e-001	1.092549e-003
1.370000000000001e+000	2.034316e-001	1.100536e-003
1.380000000000001e+000	2.049664e-001	1.108522e-003
1.390000000000001e+000	2.065020e-001	1.116508e-003
1.400000000000001e+000	2.080383e-001	1.124492e-003
1.410000000000001e+000	2.095754e-001	1.132476e-003
1.420000000000001e+000	2.111133e-001	1.140459e-003
1.430000000000001e+000	2.126520e-001	1.148442e-003
1.440000000000001e+000	2.141914e-001	1.156423e-003
1.450000000000001e+000	2.157316e-001	1.164404e-003
1.460000000000001e+000	2.172726e-001	1.172384e-003
1.470000000000001e+000	2.188144e-001	1.180364e-003
1.480000000000001e+000	2.203570e-001	1.188342e-003
1.490000000000001e+000	2.219004e-001	1.196320e-003
1.500000000000001e+000	2.234445e-001	1.204298e-003
1.510000000000001e+000	2.249894e-001	1.212274e-003
1.520000000000001e+000	2.265352e-001	1.220250e-003
1.530000000000001e+000	2.280817e-001	1.228225e-003
1.540000000000001e+000	2.296290e-001	1.236199e-003
1.550000000000001e+000	2.311771e-001	1.244173e-003
1.560000000000001e+000	2.327260e-001	1.252145e-003
1.570000000000001e+000	2.342757e-001	1.260117e-003
1.580000000000001e+000	2.358261e-001	1.268089e-003
1.590000000000001e+000	2.373774e-001	1.276059e-003
1.600000000000001e+000	2.389295e-001	1.284029e-003
1.610000000000001e+000	2.404824e-001	1.291998e-003
1.620000000000001e+000	2.420360e-001	1.299966e-003
1.630000000000001e+000	2.435905e-001	1.307933e-003
1.640000000000001e+000	2.451458e-001	1.315900e-003
1.650000000000001e+000	2.467019e-001	1.323866e-003
1.660000000000001e+000	2.482588e-001	1.331831e-003
1.670000000000001e+000	2.498165e-001	1.339796e-003
1.680000000000001e+000	2.513750e-001	1.347759e-003
1.690000000000001e+000	2.529343e-001	1.355722e-003
1.700000000000001e+000	2.544945e-001	1.363684e-003
1.710000000000001e+000	2.560554e-001	1.371646e-003
1.720000000000001e+000	2.576172e-001	1.379606e-003
1.730000000000001e+000	2.591798e-001	1.387566e-003
1.740000000000001e+000	2.607432e-001	1.395525e-003
1.750000000000001e+000	2.623074e-001	1.403484e-003
1.760000000000001e+000	2.638724e-001	1.411441e-003
1.770000000000001e+000	2.654383e-001	1.419398e-003
1.780000000000001e+000	2.670049e-001	1.427354e-003
1.790000000000001e+000	2.685724e-001	1.435309e-003
1.800000000000001e+000	2.701408e-001	1.443263e-003
1.810000000000001e+000	2.717099e-001	1.451217e-003
1.820000000000001e+000	2.732799e-001	1.459170e-003
1.830000000000001e+000	2.748507e-001	1.467122e-003
1.840000000000001e+000	2.764224e-001	1.475073e-003
1.850000000000001e+000	2.779948e-001	1.483024e-003
1.860000000000001e+000	2.795681e-001	1.490974e-003
1.870000000000001e+000	2.811422e-001	1.498922e-003
1.880000000000001e+000	2.827172e-001	1.506871e-003
1.890000000000002e+000	2.842930e-001	1.514818e-003
1.900000000000002e+000	2.858697e-001	1.522764e-003
1.910000000000002e+000	2.874471e-001	1.530710e-003
1.920000000000002e+000	2.890255e-001	1.538655e-003
1.930000000000002e+000	2.906046e-001	1.546599e-003
1.940000000000002e+000	2.921846e-001	1.554543e-003
1.950000000000002e+000	2.937655e-001	1.562485e-003
1.960000000000002e+000	2.953472e-001	1.570427e-003
1.970000000000002e+000	2.969297e-001	1.578368e-003
1.980000000000002e+000	2.985131e-001	1.586308e-003
1.990000000000002e+000	3.000973e-001	1.594248e-003
2.000000000000001e+000	3.016824e-001	1.602186e-003
2.010000000000001e+000	3.032684e-001	1.610124e-003
2.020000000000001e+000	3.048552e-001	1.618061e-003
2.030000000000001e+000	3.064429e-001	1.625997e-003
2.040000000000001e+000	3.080314e-001	1.633933e-003
