time	V(vd)	V(n001)	I(D1)
1.622119175875676e-008	2.481238e-001	-3.470963e+000	-3.597472e-004
1.642119175875676e-008	2.319018e-001	-3.894660e+000	-3.991460e-004
1.662119175875675e-008	2.137158e-001	-4.256938e+000	-4.324143e-004
1.682119175875675e-008	1.938186e-001	-4.552080e+000	-4.590243e-004
1.702119175875675e-008	1.725126e-001	-4.775434e+000	-4.785551e-004
1.722119175875675e-008	1.501363e-001	-4.923476e+000	-4.906990e-004
1.742119175875675e-008	1.270522e-001	-4.993872e+000	-4.952703e-004
1.762068820458130e-008	1.036969e-001	-4.985631e+000	-4.922059e-004
1.782068820458130e-008	8.033901e-002	-4.898843e+000	-4.815405e-004
1.802068820458129e-008	5.742790e-002	-4.734797e+000	-4.634522e-004
1.822068820458129e-008	3.535188e-002	-4.496081e+000	-4.382239e-004
1.842068820458129e-008	1.449085e-002	-4.186459e+000	-4.062566e-004
1.862068820458129e-008	-4.790782e-003	-3.810813e+000	-3.680580e-004
1.882068820458129e-008	-2.215161e-002	-3.375069e+000	-3.242340e-004
1.902068820458129e-008	-3.728076e-002	-2.886098e+000	-2.754794e-004
1.922068820458128e-008	-4.990514e-002	-2.351612e+000	-2.225664e-004
1.942068820458128e-008	-5.979610e-002	-1.780039e+000	-1.663324e-004
1.962068820458128e-008	-6.677516e-002	-1.180394e+000	-1.076664e-004
1.982068820458128e-008	-7.079941e-002	-5.621336e-001	-4.750187e-005
2.000000000000000e-008	-7.239939e-002	-2.449294e-015	7.029194e-006
