v1	Id(M1)
1.300000000000000e+000	2.006565e-006
1.301000000000000e+000	2.046116e-006
1.302000000000000e+000	2.086437e-006
1.303000000000000e+000	2.127542e-006
1.304000000000000e+000	2.169447e-006
1.305000000000000e+000	2.212166e-006
1.305999999999999e+000	2.255716e-006
1.306999999999999e+000	2.300113e-006
1.307999999999999e+000	2.345371e-006
1.308999999999999e+000	2.391509e-006
1.309999999999999e+000	2.438541e-006
1.310999999999999e+000	2.486486e-006
1.311999999999999e+000	2.535361e-006
1.312999999999999e+000	2.585183e-006
1.313999999999999e+000	2.635971e-006
1.314999999999998e+000	2.687742e-006
1.315999999999998e+000	2.740516e-006
1.316999999999998e+000	2.794311e-006
1.317999999999998e+000	2.849146e-006
1.318999999999998e+000	2.905042e-006
1.319999999999998e+000	2.962018e-006
1.320999999999998e+000	3.020095e-006
1.321999999999998e+000	3.079294e-006
1.322999999999998e+000	3.139635e-006
1.323999999999997e+000	3.201141e-006
1.324999999999997e+000	3.263832e-006
1.325999999999997e+000	3.327733e-006
1.326999999999997e+000	3.392864e-006
1.327999999999997e+000	3.459250e-006
1.328999999999997e+000	3.526914e-006
1.329999999999997e+000	3.595880e-006
1.330999999999997e+000	3.666172e-006
1.331999999999997e+000	3.737816e-006
1.332999999999996e+000	3.810836e-006
1.333999999999996e+000	3.885259e-006
1.334999999999996e+000	3.961110e-006
1.335999999999996e+000	4.038416e-006
1.336999999999996e+000	4.117205e-006
1.337999999999996e+000	4.197504e-006
1.338999999999996e+000	4.279341e-006
1.339999999999996e+000	4.362745e-006
1.340999999999996e+000	4.447745e-006
1.341999999999995e+000	4.534371e-006
1.342999999999995e+000	4.622653e-006
1.343999999999995e+000	4.712622e-006
1.344999999999995e+000	4.804309e-006
1.345999999999995e+000	4.897746e-006
1.346999999999995e+000	4.992965e-006
1.347999999999995e+000	5.090000e-006
1.348999999999995e+000	5.188884e-006
1.349999999999995e+000	5.289651e-006
1.350999999999994e+000	5.392335e-006
1.351999999999994e+000	5.496974e-006
1.352999999999994e+000	5.603601e-006
1.353999999999994e+000	5.712254e-006
1.354999999999994e+000	5.822971e-006
1.355999999999994e+000	5.935789e-006
1.356999999999994e+000	6.050746e-006
1.357999999999994e+000	6.167882e-006
1.358999999999994e+000	6.287237e-006
1.359999999999993e+000	6.408852e-006
1.360999999999993e+000	6.532768e-006
1.361999999999993e+000	6.659027e-006
1.362999999999993e+000	6.787671e-006
1.363999999999993e+000	6.918745e-006
1.364999999999993e+000	7.052292e-006
1.365999999999993e+000	7.188359e-006
1.366999999999993e+000	7.326989e-006
1.367999999999993e+000	7.468231e-006
1.368999999999992e+000	7.612131e-006
1.369999999999992e+000	7.758737e-006
1.370999999999992e+000	7.908099e-006
1.371999999999992e+000	8.060267e-006
1.372999999999992e+000	8.215291e-006
1.373999999999992e+000	8.373222e-006
1.374999999999992e+000	8.534114e-006
1.375999999999992e+000	8.698020e-006
1.376999999999992e+000	8.864993e-006
1.377999999999992e+000	9.035090e-006
1.378999999999991e+000	9.208366e-006
1.379999999999991e+000	9.384877e-006
1.380999999999991e+000	9.564683e-006
1.381999999999991e+000	9.747841e-006
1.382999999999991e+000	9.934413e-006
1.383999999999991e+000	1.012446e-005
1.384999999999991e+000	1.031804e-005
1.385999999999991e+000	1.051522e-005
1.386999999999991e+000	1.071606e-005
1.387999999999990e+000	1.092063e-005
1.388999999999990e+000	1.112900e-005
1.389999999999990e+000	1.134123e-005
1.390999999999990e+000	1.155738e-005
1.391999999999990e+000	1.177754e-005
1.392999999999990e+000	1.200176e-005
1.393999999999990e+000	1.223013e-005
1.394999999999990e+000	1.246271e-005
1.395999999999990e+000	1.269958e-005
