time	V(be)	V(ce)	Ib(Q1)	Ic(Q1)	Ie(Q1)
3.431071992655054e-004	6.116542e-001	1.384893e+000	1.248618e-006	3.615108e-004	-3.627594e-004
3.731071992655055e-004	6.104855e-001	1.533470e+000	1.191418e-006	3.466530e-004	-3.478444e-004
4.131071992655056e-004	6.085444e-001	1.767715e+000	1.104019e-006	3.232284e-004	-3.243324e-004
5.131071992655059e-004	6.025848e-001	2.397268e+000	8.788057e-007	2.602731e-004	-2.611519e-004
5.631071992655060e-004	5.995691e-001	2.669666e+000	7.847842e-007	2.330333e-004	-2.338181e-004
6.031071992655061e-004	5.974119e-001	2.847581e+000	7.246090e-007	2.152419e-004	-2.159665e-004
6.331071992655062e-004	5.960338e-001	2.954344e+000	6.891568e-007	2.045656e-004	-2.052548e-004
6.631071992655062e-004	5.949165e-001	3.037155e+000	6.622395e-007	1.962846e-004	-1.969469e-004
6.931071992655063e-004	5.940997e-001	3.095643e+000	6.438966e-007	1.904359e-004	-1.910798e-004
7.231071992655064e-004	5.936127e-001	3.129727e+000	6.340995e-007	1.870275e-004	-1.876616e-004
7.531071992655065e-004	5.934726e-001	3.139433e+000	6.328122e-007	1.860569e-004	-1.866897e-004
7.831071992655066e-004	5.936844e-001	3.124777e+000	6.400251e-007	1.875225e-004	-1.881625e-004
8.131071992655066e-004	5.942407e-001	3.085738e+000	6.557608e-007	1.914263e-004	-1.920821e-004
8.431071992655067e-004	5.951216e-001	3.022305e+000	6.800532e-007	1.977696e-004	-1.984497e-004
8.731071992655068e-004	5.962956e-001	2.934601e+000	7.128984e-007	2.065399e-004	-2.072528e-004
9.131071992655069e-004	5.982434e-001	2.780787e+000	7.697636e-007	2.219213e-004	-2.226911e-004
9.531071992655070e-004	6.005140e-001	2.587615e+000	8.406681e-007	2.412385e-004	-2.420791e-004
1.003107199265507e-003	6.035870e-001	2.300504e+000	9.456514e-007	2.699494e-004	-2.708951e-004
1.103107199265507e-003	6.093704e-001	1.670212e+000	1.174578e-006	3.329786e-004	-3.341532e-004
1.133107199265508e-003	6.107429e-001	1.501501e+000	1.234831e-006	3.498498e-004	-3.510846e-004
1.163107199265508e-003	6.118552e-001	1.358962e+000	1.284681e-006	3.641038e-004	-3.653885e-004
1.183107199265508e-003	6.124324e-001	1.282877e+000	1.310441e-006	3.717124e-004	-3.730229e-004
1.203107199265508e-003	6.128672e-001	1.224571e+000	1.329246e-006	3.775431e-004	-3.788724e-004
1.223107199265508e-003	6.131530e-001	1.185784e+000	1.340498e-006	3.814218e-004	-3.827623e-004
1.243107199265508e-003	6.132851e-001	1.167703e+000	1.343855e-006	3.832300e-004	-3.845739e-004
1.263107199265508e-003	6.132616e-001	1.170886e+000	1.339248e-006	3.829117e-004	-3.842510e-004
1.283107199265508e-003	6.130829e-001	1.195239e+000	1.326878e-006	3.804764e-004	-3.818033e-004
1.303107199265508e-003	6.127515e-001	1.240018e+000	1.307187e-006	3.759984e-004	-3.773056e-004
1.323107199265508e-003	6.122728e-001	1.303866e+000	1.280828e-006	3.696136e-004	-3.708944e-004
1.343107199265508e-003	6.116542e-001	1.384893e+000	1.248618e-006	3.615108e-004	-3.627594e-004
1.373107199265508e-003	6.104855e-001	1.533470e+000	1.191417e-006	3.466530e-004	-3.478444e-004
1.413107199265508e-003	6.085444e-001	1.767715e+000	1.104019e-006	3.232284e-004	-3.243324e-004
1.513107199265509e-003	6.025848e-001	2.397268e+000	8.788057e-007	2.602731e-004	-2.611519e-004
1.563107199265509e-003	5.995691e-001	2.669666e+000	7.847842e-007	2.330333e-004	-2.338181e-004
1.603107199265509e-003	5.974119e-001	2.847581e+000	7.246090e-007	2.152419e-004	-2.159666e-004
1.633107199265509e-003	5.960338e-001	2.954344e+000	6.891568e-007	2.045656e-004	-2.052548e-004
1.663107199265509e-003	5.949165e-001	3.037155e+000	6.622395e-007	1.962846e-004	-1.969469e-004
1.693107199265509e-003	5.940997e-001	3.095643e+000	6.438966e-007	1.904359e-004	-1.910798e-004
1.723107199265509e-003	5.936127e-001	3.129727e+000	6.340995e-007	1.870275e-004	-1.876616e-004
1.753107199265509e-003	5.934726e-001	3.139433e+000	6.328122e-007	1.860569e-004	-1.866897e-004
1.783107199265509e-003	5.936844e-001	3.124777e+000	6.400251e-007	1.875225e-004	-1.881625e-004
1.813107199265509e-003	5.942407e-001	3.085738e+000	6.557608e-007	1.914263e-004	-1.920821e-004
1.843107199265509e-003	5.951216e-001	3.022305e+000	6.800532e-007	1.977696e-004	-1.984497e-004
1.873107199265509e-003	5.962956e-001	2.934601e+000	7.128984e-007	2.065400e-004	-2.072529e-004
1.913107199265510e-003	5.982434e-001	2.780787e+000	7.697636e-007	2.219213e-004	-2.226911e-004
1.953107199265510e-003	6.005140e-001	2.587615e+000	8.406681e-007	2.412385e-004	-2.420791e-004
1.993107199265510e-003	6.029642e-001	2.361297e+000	9.234481e-007	2.638702e-004	-2.647937e-004
2.000000000000000e-003	6.033935e-001	2.319830e+000	9.385936e-007	2.680169e-004	-2.689555e-004
0.000000000000000e+000	6.033971e-001	2.319347e+000	9.224142e-007	2.680653e-004	-2.689877e-004
1.023999942617593e-007	6.034029e-001	2.318913e+000	9.396466e-007	2.681087e-004	-2.690484e-004
4.095999770470371e-007	6.034301e-001	2.316313e+000	9.477258e-007	2.683687e-004	-2.693165e-004
4.310719926550519e-005	6.073671e-001	1.902396e+000	1.101021e-006	3.097599e-004	-3.108609e-004
1.031071992655052e-004	6.123512e-001	1.293296e+000	1.326769e-006	3.706697e-004	-3.719965e-004
