time	V(vd)	V(n001)	I(D1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
4.681142774996619e-010	1.143082e-004	1.470642e-002	1.416718e-006
9.362285549993238e-010	4.210285e-004	2.941243e-002	2.814691e-006
1.404342832498986e-009	9.201609e-004	4.411804e-002	4.193919e-006
1.872457109998648e-009	1.611705e-003	5.882325e-002	5.554403e-006
2.340571387498310e-009	2.495662e-003	7.352805e-002	6.896142e-006
2.808685664997972e-009	3.572031e-003	8.823244e-002	8.219137e-006
3.276799942497632e-009	4.840812e-003	1.029364e-001	9.523387e-006
6.324001156992555e-009	1.653735e-002	1.986221e-001	1.767607e-005
1.072190339367712e-008	4.370263e-002	3.365838e-001	2.842806e-005
1.720507449489588e-008	1.022922e-001	5.394612e-001	4.241769e-005
2.591769588347538e-008	2.019773e-001	8.106345e-001	5.901971e-005
3.768685243805152e-008	3.280223e-001	1.172934e+000	8.185673e-005
5.195632742151355e-008	4.237816e-001	1.603419e+000	1.142569e-004
6.509319942406782e-008	4.642211e-001	1.988426e+000	1.475275e-004
8.317616552139766e-008	4.900630e-001	2.495723e+000	1.938639e-004
1.031761655213977e-007	5.073280e-001	3.019061e+000	2.427129e-004
1.231761655213977e-007	5.188781e-001	3.494787e+000	2.876014e-004
1.431761655213976e-007	5.271682e-001	3.915398e+000	3.274684e-004
1.631761655213976e-007	5.332575e-001	4.274261e+000	3.615737e-004
1.831761655213976e-007	5.378028e-001	4.565717e+000	3.893147e-004
2.031761655213976e-007	5.411870e-001	4.785168e+000	4.102068e-004
2.231761655213976e-007	5.435879e-001	4.929154e+000	4.238974e-004
2.431761655213976e-007	5.451110e-001	4.995405e+000	4.302243e-004
2.624623936633296e-007	5.457844e-001	4.984679e+000	4.291215e-004
2.824623936633297e-007	5.456813e-001	4.896354e+000	4.205218e-004
3.024623936633297e-007	5.447726e-001	4.730809e+000	4.046012e-004
3.224623936633297e-007	5.430161e-001	4.490657e+000	3.815480e-004
3.424623936633297e-007	5.403409e-001	4.179685e+000	3.517354e-004
3.624623936633297e-007	5.366276e-001	3.802797e+000	3.156493e-004
3.824623936633298e-007	5.316845e-001	3.365936e+000	2.738833e-004
4.024623936633298e-007	5.252002e-001	2.875993e+000	2.271340e-004
4.224623936633298e-007	5.166436e-001	2.340693e+000	1.762010e-004
4.424623936633298e-007	5.050220e-001	1.768479e+000	1.219998e-004
4.624623936633298e-007	4.879532e-001	1.168376e+000	6.562681e-005
4.824623936633298e-007	4.571414e-001	5.498458e-001	8.805534e-006
5.024623936633298e-007	3.623977e-001	-7.735530e-002	-4.264553e-005
5.224623936633299e-007	1.109750e-001	-7.033365e-001	-7.878038e-005
5.424623936633299e-007	-3.316996e-001	-1.318226e+000	-9.527431e-005
5.624623936633299e-007	-9.081267e-001	-1.912326e+000	-9.675843e-005
