vin	V(be)	Ic(Q1)
5.150000000000004e-001	5.150000e-001	7.645948e-006
5.200000000000004e-001	5.200000e-001	9.261902e-006
5.250000000000004e-001	5.250000e-001	1.121908e-005
5.300000000000004e-001	5.300000e-001	1.358943e-005
5.350000000000004e-001	5.350000e-001	1.646006e-005
5.400000000000004e-001	5.400000e-001	1.993637e-005
5.450000000000004e-001	5.450000e-001	2.414590e-005
5.500000000000004e-001	5.500000e-001	2.924294e-005
5.550000000000004e-001	5.550000e-001	3.541410e-005
5.600000000000004e-001	5.600000e-001	4.288501e-005
5.650000000000004e-001	5.650000e-001	5.192837e-005
5.700000000000004e-001	5.700000e-001	6.287365e-005
5.750000000000004e-001	5.750000e-001	7.611864e-005
5.800000000000004e-001	5.800000e-001	9.214341e-005
5.850000000000004e-001	5.850000e-001	1.115268e-004
5.900000000000004e-001	5.900000e-001	1.349661e-004
5.950000000000004e-001	5.950000e-001	1.633003e-004
6.000000000000004e-001	6.000000e-001	1.975379e-004
6.050000000000004e-001	6.050000e-001	2.388883e-004
6.100000000000004e-001	6.100000e-001	2.887998e-004
6.150000000000004e-001	6.150000e-001	3.490023e-004
6.200000000000004e-001	6.200000e-001	4.215558e-004
6.250000000000004e-001	6.250000e-001	5.089050e-004
6.300000000000005e-001	6.300000e-001	6.139386e-004
6.350000000000005e-001	6.350000e-001	7.400523e-004
6.400000000000005e-001	6.400000e-001	8.912124e-004
6.450000000000005e-001	6.450000e-001	1.072017e-003
6.500000000000005e-001	6.500000e-001	1.287745e-003
6.550000000000005e-001	6.550000e-001	1.544391e-003
6.600000000000005e-001	6.600000e-001	1.848667e-003
6.650000000000005e-001	6.650000e-001	2.207954e-003
6.700000000000005e-001	6.700000e-001	2.630199e-003
6.750000000000005e-001	6.750000e-001	3.123722e-003
6.800000000000005e-001	6.800000e-001	3.696916e-003
6.850000000000005e-001	6.850000e-001	4.357832e-003
6.900000000000005e-001	6.900000e-001	5.113628e-003
6.950000000000005e-001	6.950000e-001	5.969892e-003
7.000000000000000e-001	7.000000e-001	6.929866e-003
