time	V(vd)	V(n001)	I(D1)
1.029862615636699e-004	4.421206e-001	9.326666e-001	4.754958e-005
1.040542080683126e-004	4.656679e-001	1.259937e+000	7.696652e-005
1.052031426935130e-004	4.818691e-001	1.605653e+000	1.087350e-004
1.072031426935130e-004	5.006572e-001	2.186467e+000	1.628439e-004
1.092031426935130e-004	5.140042e-001	2.732799e+000	2.143942e-004
1.112031426935130e-004	5.234164e-001	3.236032e+000	2.621413e-004
1.132031426935130e-004	5.303761e-001	3.688232e+000	3.051836e-004
1.152031426935130e-004	5.357127e-001	4.082266e+000	3.427660e-004
1.172031426935130e-004	5.397650e-001	4.411921e+000	3.742504e-004
1.192031426935130e-004	5.427310e-001	4.671997e+000	3.991125e-004
1.212031426935129e-004	5.447474e-001	4.858392e+000	4.169417e-004
1.232031426935129e-004	5.459346e-001	4.968168e+000	4.277971e-004
1.248307775465473e-004	5.462943e-001	4.999717e+000	4.311202e-004
1.264371011465012e-004	5.460643e-001	4.979630e+000	4.289136e-004
1.284371011465012e-004	5.450411e-001	4.883856e+000	4.193753e-004
1.304371011465012e-004	5.432025e-001	4.711061e+000	4.028439e-004
1.324371011465012e-004	5.404328e-001	4.463969e+000	3.792181e-004
1.344371011465012e-004	5.366048e-001	4.146477e+000	3.488871e-004
1.364371011465012e-004	5.315145e-001	3.763594e+000	3.123552e-004
1.384371011465012e-004	5.248250e-001	3.321356e+000	2.702394e-004
1.404371011465012e-004	5.159523e-001	2.826738e+000	2.232716e-004
1.424371011465012e-004	5.037630e-001	2.287541e+000	1.723203e-004
1.444371011465011e-004	4.852849e-001	1.712268e+000	1.184870e-004
1.464371011465011e-004	4.471117e-001	1.109992e+000	6.394184e-005
1.484371011465011e-004	3.319296e-001	4.902104e-001	1.525741e-005
1.494190645995460e-004	1.633659e-001	1.824657e-001	1.838183e-006
1.504810624042862e-004	-1.390466e-001	-1.511072e-001	-1.164334e-006
1.510966503775201e-004	-3.325416e-001	-3.442503e-001	-1.124716e-006
1.528855107412397e-004	-8.892879e-001	-9.015518e-001	-9.658189e-007
1.548855107412397e-004	-1.496246e+000	-1.510838e+000	-8.383356e-007
1.568855107412397e-004	-2.080488e+000	-2.096297e+000	-7.323465e-007
1.588855107412397e-004	-2.631657e+000	-2.648696e+000	-6.403178e-007
1.608855107412397e-004	-3.141149e+000	-3.159324e+000	-5.550658e-007
1.628855107412397e-004	-3.600971e+000	-3.620127e+000	-4.739488e-007
1.648855107412397e-004	-4.003907e+000	-4.023839e+000	-3.947247e-007
1.668855107412397e-004	-4.343623e+000	-4.364092e+000	-3.167732e-007
1.688855107412397e-004	-4.614781e+000	-4.635521e+000	-2.392206e-007
1.708855107412397e-004	-4.813118e+000	-4.833846e+000	-1.620279e-007
1.728855107412397e-004	-4.939719e+000	-4.955937e+000	-8.506491e-008
1.744574458436731e-004	-4.982584e+000	-4.997095e+000	-2.440875e-008
1.762982766514446e-004	-4.965775e+000	-4.983374e+000	4.684414e-008
1.782982766514446e-004	-4.875000e+000	-4.893016e+000	1.238557e-007
1.802982766514446e-004	-4.708932e+000	-4.725492e+000	2.010202e-007
1.822982766514446e-004	-4.468635e+000	-4.483445e+000	2.782715e-007
1.842982766514446e-004	-4.157912e+000	-4.170691e+000	3.559034e-007
1.862982766514446e-004	-3.781682e+000	-3.792162e+000	4.342781e-007
1.882982766514446e-004	-3.345899e+000	-3.353829e+000	5.141960e-007
1.902982766514446e-004	-2.857464e+000	-2.862605e+000	5.969826e-007
1.922982766514446e-004	-2.324116e+000	-2.326235e+000	6.850247e-007
1.942982766514446e-004	-1.754328e+000	-1.753179e+000	7.828736e-007
1.962982766514446e-004	-1.157197e+000	-1.152474e+000	8.998472e-007
1.982982766514446e-004	-5.425884e-001	-5.335941e-001	1.057294e-006
2.000000000000000e-004	-1.247156e-002	6.432491e-015	1.210898e-006
