time	V(vd)	V(n001)	I(D1)
1.096591043734588e-005	5.154182e-001	2.851617e+000	2.257415e-004
1.116591043734588e-005	5.244759e-001	3.343887e+000	2.724640e-004
1.136591043734588e-005	5.312029e-001	3.783422e+000	3.143077e-004
1.156591043734588e-005	5.363390e-001	4.163291e+000	3.505406e-004
1.176591043734588e-005	5.402302e-001	4.477502e+000	3.805472e-004
1.196591043734588e-005	5.430579e-001	4.721100e+000	4.038292e-004
1.216591043734588e-005	5.449523e-001	4.890244e+000	4.200019e-004
1.236591043734588e-005	5.459881e-001	4.982265e+000	4.288002e-004
1.256591043734588e-005	5.462158e-001	4.995713e+000	4.301604e-004
1.275731135025990e-005	5.456669e-001	4.934796e+000	4.243224e-004
1.295731135025990e-005	5.442728e-001	4.795010e+000	4.108581e-004
1.315731135025990e-005	5.420023e-001	4.579603e+000	3.902478e-004
1.335731135025990e-005	5.387489e-001	4.291973e+000	3.627488e-004
1.355731135025990e-005	5.343530e-001	3.936655e+000	3.288151e-004
1.375731135025990e-005	5.285575e-001	3.519255e+000	2.890140e-004
1.395731135025990e-005	5.209309e-001	3.046354e+000	2.440244e-004
1.415731135025990e-005	5.106912e-001	2.525410e+000	1.946451e-004
1.435731135025990e-005	4.960771e-001	1.964638e+000	1.418363e-004
1.455731135025990e-005	4.719433e-001	1.372884e+000	8.695106e-005
1.475731135025989e-005	4.131189e-001	7.594777e-001	3.338606e-005
1.491804098373018e-005	2.700727e-001	2.573681e-001	-1.278818e-006
1.501430739250311e-005	6.983717e-002	-4.494739e-002	-1.113878e-005
1.511060499880999e-005	-2.224144e-001	-3.471962e-001	-1.209346e-005
1.518074418804963e-005	-4.505590e-001	-5.666049e-001	-1.123858e-005
1.525380538916173e-005	-6.855362e-001	-7.939779e-001	-1.043932e-005
1.539992779138593e-005	-1.144289e+000	-1.243230e+000	-9.242525e-006
1.559992779138593e-005	-1.751011e+000	-1.840412e+000	-7.974455e-006
1.579992779138593e-005	-2.327570e+000	-2.408570e+000	-6.940983e-006
1.599992779138594e-005	-2.865041e+000	-2.938743e+000	-6.029174e-006
1.619992779138594e-005	-3.355691e+000	-3.422570e+000	-5.181183e-006
1.639992779138594e-005	-3.792217e+000	-3.852422e+000	-4.368377e-006
1.659992779138594e-005	-4.168028e+000	-4.221518e+000	-3.574821e-006
1.679992779138594e-005	-4.477427e+000	-4.524039e+000	-2.791784e-006
1.699992779138594e-005	-4.715713e+000	-4.755212e+000	-2.014056e-006
1.719992779138594e-005	-4.879266e+000	-4.911394e+000	-1.239234e-006
1.739992779138595e-005	-4.965641e+000	-4.990119e+000	-4.664660e-007
1.759992779138595e-005	-4.973614e+000	-4.990148e+000	3.049165e-007
1.779992779138595e-005	-4.903188e+000	-4.911479e+000	1.075126e-006
1.799992779138595e-005	-4.755600e+000	-4.755352e+000	1.844299e-006
1.819992779138595e-005	-4.533301e+000	-4.524232e+000	2.613117e-006
1.839992779138595e-005	-4.239935e+000	-4.221761e+000	3.382845e-006
1.859992779138595e-005	-3.880305e+000	-3.852711e+000	4.156849e-006
1.879992779138596e-005	-3.460272e+000	-3.422901e+000	4.941362e-006
1.899992779138596e-005	-2.986681e+000	-2.939110e+000	5.746278e-006
1.919992779138596e-005	-2.467316e+000	-2.408967e+000	6.589369e-006
1.939992779138596e-005	-1.910837e+000	-1.840834e+000	7.503028e-006
1.959992779138596e-005	-1.326813e+000	-1.243669e+000	8.549707e-006
1.979992779138596e-005	-7.260292e-001	-6.268913e-001	9.865811e-006
1.999992779138596e-005	-1.185588e-001	-2.268501e-004	1.148862e-005
2.000000000000000e-005	-1.183404e-001	-2.449294e-015	1.148936e-005
