time	V(vd)	V(n001)	I(R1)
1.033476734951530e-002	4.524270e-001	1.043934e+000	-5.734370e-005
1.043476734951530e-002	4.713513e-001	1.348907e+000	-8.507042e-005
1.053476734951530e-002	4.848315e-001	1.648557e+000	-1.128252e-004
1.073476734951530e-002	5.029791e-001	2.227182e+000	-1.671850e-004
1.093476734951530e-002	5.152794e-001	2.770683e+000	-2.187058e-004
1.113476734951529e-002	5.242884e-001	3.270488e+000	-2.663081e-004
1.133476734951529e-002	5.311005e-001	3.718716e+000	-3.091210e-004
1.153476734951529e-002	5.363010e-001	4.108298e+000	-3.464023e-004
1.173476734951529e-002	5.402291e-001	4.433089e+000	-3.775229e-004
1.193476734951529e-002	5.430936e-001	4.687967e+000	-4.019659e-004
1.213476734951529e-002	5.450243e-001	4.868914e+000	-4.193287e-004
1.233476734951529e-002	5.461003e-001	4.973075e+000	-4.293270e-004
1.253476734951529e-002	5.463623e-001	4.998808e+000	-4.317974e-004
1.273476734951528e-002	5.458201e-001	4.945706e+000	-4.266996e-004
1.293476734951528e-002	5.444536e-001	4.814608e+000	-4.141169e-004
1.313476734951528e-002	5.422096e-001	4.607580e+000	-3.942548e-004
1.333476734951528e-002	5.389935e-001	4.327888e+000	-3.674393e-004
1.353476734951528e-002	5.346519e-001	3.979943e+000	-3.341131e-004
1.373476734951528e-002	5.289385e-001	3.569232e+000	-2.948322e-004
1.393476734951528e-002	5.214456e-001	3.102232e+000	-2.502646e-004
1.413476734951528e-002	5.114482e-001	2.586307e+000	-2.011949e-004
1.433476734951527e-002	4.974880e-001	2.029595e+000	-1.485539e-004
1.443476734951527e-002	4.880708e-001	1.738666e+000	-1.212505e-004
1.453476734951527e-002	4.759099e-001	1.440876e+000	-9.354798e-005
1.463476734951527e-002	4.588077e-001	1.137398e+000	-6.577365e-005
1.473476734951527e-002	4.300261e-001	8.294324e-001	-3.869785e-005
1.483476734951527e-002	3.661914e-001	5.181929e-001	-1.471976e-005
1.490657613896016e-002	2.508435e-001	2.933626e-001	-4.111420e-006
1.499384003135191e-002	1.743908e-002	1.938348e-002	-1.864403e-007
1.503539637271532e-002	-1.110043e-001	-1.111604e-001	1.354456e-008
1.524888345741704e-002	-7.777805e-001	-7.786766e-001	1.240581e-008
1.544888345741704e-002	-1.390070e+000	-1.391557e+000	1.104880e-008
1.564888345741703e-002	-1.980432e+000	-1.982491e+000	9.979326e-009
1.584888345741703e-002	-2.539559e+000	-2.542160e+000	9.050567e-009
1.604888345741703e-002	-3.058633e+000	-3.061738e+000	8.196326e-009
1.624888345741703e-002	-3.529469e+000	-3.533031e+000	7.382751e-009
1.644888345741703e-002	-3.944641e+000	-3.948605e+000	6.591268e-009
1.664888345741703e-002	-4.297603e+000	-4.301908e+000	5.811351e-009
1.684888345741703e-002	-4.582788e+000	-4.587367e+000	5.037034e-009
1.704888345741703e-002	-4.795700e+000	-4.800480e+000	4.265068e-009
1.724888345741702e-002	-4.932979e+000	-4.937887e+000	3.493844e-009
1.744888345741702e-002	-4.992462e+000	-4.997420e+000	2.722713e-009
1.764888345741702e-002	-4.973210e+000	-4.978142e+000	1.951510e-009
1.784888345741702e-002	-4.875527e+000	-4.880354e+000	1.180165e-009
1.804888345741702e-002	-4.700954e+000	-4.705602e+000	4.083322e-010
1.824888345741702e-002	-4.452245e+000	-4.456638e+000	-3.650287e-010
1.844888345741702e-002	-4.133321e+000	-4.137391e+000	-1.142220e-009
1.864888345741702e-002	-3.749212e+000	-3.752895e+000	-1.927635e-009
1.884888345741701e-002	-3.305976e+000	-3.309213e+000	-2.729152e-009
1.904888345741701e-002	-2.810604e+000	-2.813343e+000	-3.560615e-009
1.924888345741701e-002	-2.270908e+000	-2.273105e+000	-4.446749e-009
1.944888345741701e-002	-1.695401e+000	-1.697019e+000	-5.433947e-009
1.964888345741701e-002	-1.093158e+000	-1.094170e+000	-6.617848e-009
1.984888345741701e-002	-4.736821e-001	-4.740649e-001	-8.249865e-009
1.994888345741701e-002	-1.605895e-001	-1.605911e-001	-1.021320e-008
2.000000000000000e-002	-1.746361e-004	-3.141593e-005	-1.390487e-008
