time	V(vd)	V(n001)	I(D1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
9.362285549993238e-011	2.191876e-005	1.470642e-002	1.425695e-006
1.872457109998648e-010	8.508404e-005	2.941243e-002	2.847311e-006
2.808685664997972e-010	1.894958e-004	4.411804e-002	4.264850e-006
3.744914219997295e-010	3.351542e-004	5.882325e-002	5.678311e-006
4.681142774996619e-010	5.220590e-004	7.352805e-002	7.087694e-006
5.617371329995943e-010	7.502104e-004	8.823244e-002	8.492999e-006
6.553599884995265e-010	1.019608e-003	1.029364e-001	9.894226e-006
1.310719976999053e-009	3.845004e-003	2.058292e-001	1.960666e-005
2.310719976999053e-009	1.086267e-002	3.626483e-001	3.414542e-005
3.310719976999053e-009	2.110707e-002	5.191095e-001	4.833755e-005
4.310719976999053e-009	3.475736e-002	6.750585e-001	6.214922e-005
5.310719976999052e-009	5.165867e-002	8.303412e-001	7.558057e-005
6.310719976999052e-009	7.164247e-002	9.848045e-001	8.863313e-005
7.310719976999052e-009	9.452505e-002	1.138296e+000	1.013099e-004
8.310719976999053e-009	1.201031e-001	1.290664e+000	1.136159e-004
9.310719976999054e-009	1.481427e-001	1.441758e+000	1.255594e-004
1.031071997699905e-008	1.783548e-001	1.591430e+000	1.371538e-004
1.131071997699906e-008	2.103403e-001	1.739530e+000	1.484236e-004
1.331071997699906e-008	2.768394e-001	2.030438e+000	1.702037e-004
1.431071997699906e-008	3.090268e-001	2.172957e+000	1.809129e-004
1.531071997699906e-008	3.385336e-001	2.313332e+000	1.916761e-004
1.631071997699906e-008	3.642308e-001	2.451423e+000	2.025892e-004
1.731071997699905e-008	3.857647e-001	2.587096e+000	2.136703e-004
1.831071997699905e-008	4.034680e-001	2.720216e+000	2.248723e-004
1.931071997699905e-008	4.180003e-001	2.850650e+000	2.361193e-004
2.131071997699905e-008	4.402049e-001	3.102954e+000	2.584483e-004
2.431071997699905e-008	4.631196e-001	3.458151e+000	2.906977e-004
2.659643426271334e-008	4.747452e-001	3.710890e+000	3.141004e-004
2.888214854842763e-008	4.850499e-001	3.941858e+000	3.355183e-004
3.116786283414191e-008	4.940336e-001	4.151055e+000	3.549513e-004
3.345357711985621e-008	5.016963e-001	4.338482e+000	3.723995e-004
3.573929140557049e-008	5.080380e-001	4.504138e+000	3.878629e-004
3.802500569128478e-008	5.130588e-001	4.648023e+000	4.013415e-004
4.031071997699907e-008	5.167586e-001	4.770138e+000	4.128352e-004
4.473929140557049e-008	5.233139e-001	4.927914e+000	4.275131e-004
