vin	V(gs)	Id(M1)
-2.485599999999991e+000	-2.485600e+000	2.076055e-011
-2.485449999999991e+000	-2.485450e+000	2.076370e-011
-2.485299999999991e+000	-2.485300e+000	2.076686e-011
-2.485149999999991e+000	-2.485150e+000	2.077001e-011
-2.484999999999991e+000	-2.485000e+000	2.077321e-011
-2.484849999999991e+000	-2.484850e+000	2.077640e-011
-2.484699999999990e+000	-2.484700e+000	2.077960e-011
-2.484549999999990e+000	-2.484550e+000	2.078284e-011
-2.484399999999990e+000	-2.484400e+000	2.078608e-011
-2.484249999999990e+000	-2.484250e+000	2.078933e-011
-2.484099999999990e+000	-2.484100e+000	2.079266e-011
-2.483949999999990e+000	-2.483950e+000	2.079594e-011
-2.483799999999990e+000	-2.483800e+000	2.079919e-011
-2.483649999999990e+000	-2.483650e+000	2.080252e-011
-2.483499999999990e+000	-2.483500e+000	2.080585e-011
-2.483349999999990e+000	-2.483350e+000	2.080918e-011
-2.483199999999989e+000	-2.483200e+000	2.081251e-011
-2.483049999999989e+000	-2.483050e+000	2.081593e-011
-2.482899999999989e+000	-2.482900e+000	2.081926e-011
-2.482749999999989e+000	-2.482750e+000	2.082268e-011
-2.482599999999989e+000	-2.482600e+000	2.082610e-011
-2.482449999999989e+000	-2.482450e+000	2.082956e-011
-2.482299999999989e+000	-2.482300e+000	2.083294e-011
-2.482149999999989e+000	-2.482150e+000	2.083644e-011
-2.481999999999989e+000	-2.482000e+000	2.083982e-011
-2.481849999999989e+000	-2.481850e+000	2.084337e-011
-2.481699999999989e+000	-2.481700e+000	2.084683e-011
-2.481549999999988e+000	-2.481550e+000	2.085039e-011
-2.481399999999988e+000	-2.481400e+000	2.085390e-011
-2.481249999999988e+000	-2.481250e+000	2.085745e-011
-2.481099999999988e+000	-2.481100e+000	2.086105e-011
-2.480949999999988e+000	-2.480950e+000	2.086455e-011
-2.480799999999988e+000	-2.480800e+000	2.086815e-011
-2.480649999999988e+000	-2.480650e+000	2.087175e-011
-2.480499999999988e+000	-2.480500e+000	2.087539e-011
-2.480349999999988e+000	-2.480350e+000	2.087899e-011
-2.480199999999988e+000	-2.480200e+000	2.088267e-011
-2.480049999999987e+000	-2.480050e+000	2.088632e-011
-2.479899999999987e+000	-2.479900e+000	2.089000e-011
-2.479749999999987e+000	-2.479750e+000	2.089369e-011
-2.479599999999987e+000	-2.479600e+000	2.089737e-011
-2.479449999999987e+000	-2.479450e+000	2.090110e-011
-2.479299999999987e+000	-2.479300e+000	2.090483e-011
-2.479149999999987e+000	-2.479150e+000	2.090865e-011
-2.478999999999987e+000	-2.479000e+000	2.091238e-011
-2.478849999999987e+000	-2.478850e+000	2.091620e-011
-2.478699999999987e+000	-2.478700e+000	2.091998e-011
-2.478549999999987e+000	-2.478550e+000	2.092375e-011
-2.478399999999986e+000	-2.478400e+000	2.092766e-011
-2.478249999999986e+000	-2.478250e+000	2.093148e-011
-2.478099999999986e+000	-2.478100e+000	2.093534e-011
-2.477949999999986e+000	-2.477950e+000	2.093921e-011
-2.477799999999986e+000	-2.477800e+000	2.094311e-011
-2.477649999999986e+000	-2.477650e+000	2.094707e-011
-2.477499999999986e+000	-2.477500e+000	2.095097e-011
-2.477349999999986e+000	-2.477350e+000	2.095493e-011
-2.477199999999986e+000	-2.477200e+000	2.095892e-011
-2.477049999999986e+000	-2.477050e+000	2.096288e-011
-2.476899999999985e+000	-2.476900e+000	2.096692e-011
-2.476749999999985e+000	-2.476750e+000	2.097091e-011
-2.476599999999985e+000	-2.476600e+000	2.097491e-011
-2.476449999999985e+000	-2.476450e+000	2.097900e-011
-2.476299999999985e+000	-2.476300e+000	2.098308e-011
-2.476149999999985e+000	-2.476150e+000	2.098717e-011
-2.475999999999985e+000	-2.476000e+000	2.099121e-011
-2.475849999999985e+000	-2.475850e+000	2.099534e-011
-2.475699999999985e+000	-2.475700e+000	2.099951e-011
-2.475549999999985e+000	-2.475550e+000	2.100364e-011
-2.475399999999985e+000	-2.475400e+000	2.100782e-011
-2.475249999999984e+000	-2.475250e+000	2.101204e-011
-2.475099999999984e+000	-2.475100e+000	2.101621e-011
-2.474949999999984e+000	-2.474950e+000	2.102043e-011
-2.474799999999984e+000	-2.474800e+000	2.102465e-011
-2.474649999999984e+000	-2.474650e+000	2.102896e-011
-2.474499999999984e+000	-2.474500e+000	2.103322e-011
-2.474349999999984e+000	-2.474350e+000	2.103748e-011
-2.474199999999984e+000	-2.474200e+000	2.104179e-011
-2.474049999999984e+000	-2.474050e+000	2.104614e-011
-2.473899999999984e+000	-2.473900e+000	2.105049e-011
-2.473749999999984e+000	-2.473750e+000	2.105485e-011
-2.473599999999983e+000	-2.473600e+000	2.105924e-011
-2.473449999999983e+000	-2.473450e+000	2.106364e-011
-2.473299999999983e+000	-2.473300e+000	2.106808e-011
-2.473149999999983e+000	-2.473150e+000	2.107252e-011
-2.472999999999983e+000	-2.473000e+000	2.107696e-011
-2.472849999999983e+000	-2.472850e+000	2.108149e-011
-2.472699999999983e+000	-2.472700e+000	2.108593e-011
-2.472549999999983e+000	-2.472550e+000	2.109046e-011
-2.472399999999983e+000	-2.472400e+000	2.109499e-011
-2.472249999999983e+000	-2.472250e+000	2.109952e-011
-2.472099999999982e+000	-2.472100e+000	2.110410e-011
-2.471949999999982e+000	-2.471950e+000	2.110872e-011
-2.471799999999982e+000	-2.471800e+000	2.111333e-011
-2.471649999999982e+000	-2.471650e+000	2.111795e-011
-2.471499999999982e+000	-2.471500e+000	2.112261e-011
-2.471349999999982e+000	-2.471350e+000	2.112728e-011
-2.471199999999982e+000	-2.471200e+000	2.113199e-011
-2.471049999999982e+000	-2.471050e+000	2.113669e-011
-2.470899999999982e+000	-2.470900e+000	2.114140e-011
-2.470749999999982e+000	-2.470750e+000	2.114615e-011
-2.470599999999982e+000	-2.470600e+000	2.115090e-011
-2.470449999999981e+000	-2.470450e+000	2.115570e-011
-2.470299999999981e+000	-2.470300e+000	2.116050e-011
-2.470149999999981e+000	-2.470150e+000	2.116534e-011
-2.469999999999981e+000	-2.470000e+000	2.117022e-011
-2.469849999999981e+000	-2.469850e+000	2.117506e-011
-2.469699999999981e+000	-2.469700e+000	2.117995e-011
-2.469549999999981e+000	-2.469550e+000	2.118492e-011
-2.469399999999981e+000	-2.469400e+000	2.118981e-011
-2.469249999999981e+000	-2.469250e+000	2.119474e-011
-2.469099999999981e+000	-2.469100e+000	2.119975e-011
-2.468949999999980e+000	-2.468950e+000	2.120473e-011
-2.468799999999980e+000	-2.468800e+000	2.120970e-011
-2.468649999999980e+000	-2.468650e+000	2.121476e-011
-2.468499999999980e+000	-2.468500e+000	2.121983e-011
-2.468349999999980e+000	-2.468350e+000	2.122489e-011
-2.468199999999980e+000	-2.468200e+000	2.122995e-011
-2.468049999999980e+000	-2.468050e+000	2.123510e-011
-2.467899999999980e+000	-2.467900e+000	2.124030e-011
-2.467749999999980e+000	-2.467750e+000	2.124545e-011
-2.467599999999980e+000	-2.467600e+000	2.125060e-011
-2.467449999999980e+000	-2.467450e+000	2.125575e-011
-2.467299999999979e+000	-2.467300e+000	2.126099e-011
-2.467149999999979e+000	-2.467150e+000	2.126628e-011
-2.466999999999979e+000	-2.467000e+000	2.127156e-011
-2.466849999999979e+000	-2.466850e+000	2.127685e-011
-2.466699999999979e+000	-2.466700e+000	2.128218e-011
-2.466549999999979e+000	-2.466550e+000	2.128750e-011
-2.466399999999979e+000	-2.466400e+000	2.129288e-011
-2.466249999999979e+000	-2.466250e+000	2.129830e-011
-2.466099999999979e+000	-2.466100e+000	2.130367e-011
