v2	V(ds)	I(R1)
1.029999999999998e+001	2.949106e+000	1.386961e-003
1.039999999999998e+001	3.049106e+000	1.386961e-003
1.049999999999998e+001	3.149107e+000	1.386961e-003
1.059999999999998e+001	3.249106e+000	1.386961e-003
1.069999999999998e+001	3.349106e+000	1.386961e-003
1.079999999999998e+001	3.449106e+000	1.386961e-003
1.089999999999998e+001	3.549106e+000	1.386961e-003
1.099999999999998e+001	3.649107e+000	1.386961e-003
1.109999999999998e+001	3.749106e+000	1.386961e-003
1.119999999999998e+001	3.849106e+000	1.386961e-003
1.129999999999998e+001	3.949106e+000	1.386961e-003
1.139999999999998e+001	4.049107e+000	1.386961e-003
1.149999999999998e+001	4.149107e+000	1.386961e-003
1.159999999999998e+001	4.249106e+000	1.386961e-003
1.169999999999997e+001	4.349106e+000	1.386961e-003
1.179999999999997e+001	4.449106e+000	1.386961e-003
1.189999999999997e+001	4.549107e+000	1.386961e-003
1.199999999999997e+001	4.649107e+000	1.386961e-003
1.209999999999997e+001	4.749106e+000	1.386961e-003
1.219999999999997e+001	4.849106e+000	1.386961e-003
1.229999999999997e+001	4.949106e+000	1.386961e-003
1.239999999999997e+001	5.049107e+000	1.386961e-003
1.249999999999997e+001	5.149107e+000	1.386961e-003
1.259999999999997e+001	5.249106e+000	1.386961e-003
1.269999999999997e+001	5.349106e+000	1.386961e-003
1.279999999999997e+001	5.449106e+000	1.386961e-003
1.289999999999997e+001	5.549107e+000	1.386961e-003
1.299999999999997e+001	5.649107e+000	1.386961e-003
1.309999999999997e+001	5.749106e+000	1.386961e-003
1.319999999999997e+001	5.849106e+000	1.386961e-003
1.329999999999997e+001	5.949106e+000	1.386961e-003
1.339999999999997e+001	6.049107e+000	1.386961e-003
1.349999999999997e+001	6.149107e+000	1.386961e-003
1.359999999999997e+001	6.249106e+000	1.386961e-003
1.369999999999997e+001	6.349106e+000	1.386961e-003
1.379999999999997e+001	6.449106e+000	1.386961e-003
1.389999999999997e+001	6.549107e+000	1.386961e-003
1.399999999999997e+001	6.649107e+000	1.386961e-003
1.409999999999997e+001	6.749106e+000	1.386961e-003
