time	V(vd)	V(n001)	I(R1)
1.043107200047544e-008	-3.285195e-002	1.337755e+000	-1.329405e-004
1.053107200047544e-008	-2.910859e-002	1.637623e+000	-1.616617e-004
1.063107200047544e-008	-2.465487e-002	1.931027e+000	-1.896870e-004
1.073107200047544e-008	-1.951353e-002	2.216810e+000	-2.169065e-004
1.083107200047544e-008	-1.371046e-002	2.493845e+000	-2.432131e-004
1.093107200047544e-008	-7.274590e-003	2.761038e+000	-2.685037e-004
1.103107200047544e-008	-2.376342e-004	3.017334e+000	-2.926791e-004
1.113107200047544e-008	7.366049e-003	3.261722e+000	-3.156444e-004
1.123107200047544e-008	1.549969e-002	3.493237e+000	-3.373098e-004
1.133107200047544e-008	2.412432e-002	3.710967e+000	-3.575904e-004
1.143107200047544e-008	3.319901e-002	3.914051e+000	-3.764068e-004
1.153107200047544e-008	4.268107e-002	4.101687e+000	-3.936854e-004
1.163107200047544e-008	5.252633e-002	4.273137e+000	-4.093587e-004
1.183107200047543e-008	7.312356e-002	4.564833e+000	-4.356510e-004
1.203107200047543e-008	9.461568e-002	4.784539e+000	-4.548741e-004
1.223107200047543e-008	1.166177e-001	4.928791e+000	-4.667291e-004
1.243107200047543e-008	1.387409e-001	4.995312e+000	-4.710332e-004
1.263107200047543e-008	1.605982e-001	4.983054e+000	-4.677222e-004
1.283107200047543e-008	1.818106e-001	4.892210e+000	-4.568517e-004
1.303107200047543e-008	2.020129e-001	4.724214e+000	-4.385961e-004
1.323107200047542e-008	2.208641e-001	4.481713e+000	-4.132453e-004
1.343107200047542e-008	2.380591e-001	4.168533e+000	-3.812001e-004
1.363107200047542e-008	2.533435e-001	3.789613e+000	-3.429642e-004
1.383107200047542e-008	2.665264e-001	3.350929e+000	-2.991356e-004
1.403107200047542e-008	2.774860e-001	2.859399e+000	-2.503972e-004
1.423107200047542e-008	2.861638e-001	2.322774e+000	-1.975066e-004
1.443107200047541e-008	2.925491e-001	1.749517e+000	-1.412856e-004
