time	V(vd)	V(n001)	I(R1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-008	0.000000e+000	0.000000e+000	0.000000e+000
1.005188258994959e-008	2.821216e-005	1.629937e-002	-1.579713e-006
1.015564776984876e-008	1.459205e-004	4.889741e-002	-4.733031e-006
1.036317812964710e-008	5.974538e-004	1.140859e-001	-1.101783e-005
1.056747293263207e-008	1.396987e-003	1.782391e-001	-1.716754e-005
1.097606253860201e-008	4.237506e-003	3.064469e-001	-2.932955e-005
1.179324175054188e-008	1.352428e-002	5.621723e-001	-5.322130e-005
1.279324175054188e-008	3.056123e-002	8.730248e-001	-8.170896e-005
1.379324175054188e-008	5.400115e-002	1.180432e+000	-1.092491e-004
1.479324175054189e-008	8.370616e-002	1.483180e+000	-1.357292e-004
1.579324175054188e-008	1.191183e-001	1.780076e+000	-1.610875e-004
1.679324175054188e-008	1.595470e-001	2.069945e+000	-1.852773e-004
1.779324175054188e-008	2.040176e-001	2.351646e+000	-2.082824e-004
1.979324175054188e-008	2.972879e-001	2.886130e+000	-2.510674e-004
2.079324175054188e-008	3.393801e-001	3.136804e+000	-2.712941e-004
2.179324175054188e-008	3.740845e-001	3.375098e+000	-2.910372e-004
2.279324175054188e-008	4.009461e-001	3.600072e+000	-3.102499e-004
2.379324175054188e-008	4.215432e-001	3.810838e+000	-3.286928e-004
2.479324175054188e-008	4.375894e-001	4.006565e+000	-3.461187e-004
2.579324175054187e-008	4.503040e-001	4.186480e+000	-3.623345e-004
2.779324175054187e-008	4.692301e-001	4.496098e+000	-3.905274e-004
2.979324175054187e-008	4.828806e-001	4.734810e+000	-4.123551e-004
3.179324175054187e-008	4.932851e-001	4.898851e+000	-4.272556e-004
3.379324175054188e-008	5.014451e-001	4.985634e+000	-4.348806e-004
3.579324175054188e-008	5.079253e-001	4.993791e+000	-4.350426e-004
3.779324175054189e-008	5.130723e-001	4.923193e+000	-4.276955e-004
3.979324175054189e-008	5.171100e-001	4.774953e+000	-4.129254e-004
4.179324175054190e-008	5.201875e-001	4.551409e+000	-3.909448e-004
4.379324175054190e-008	5.224036e-001	4.256087e+000	-3.620858e-004
4.579324175054191e-008	5.238218e-001	3.893644e+000	-3.267942e-004
4.779324175054191e-008	5.244779e-001	3.469795e+000	-2.856208e-004
