time	V(vd)	V(n001)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.599999993606716e-011	1.618341e-005	5.026463e-002
3.199999987213431e-011	5.551771e-005	1.005242e-001
6.399999974426862e-011	2.071732e-004	2.010077e-001
1.279999994885372e-010	8.010752e-004	4.016905e-001
2.559999989770745e-010	3.133188e-003	8.007842e-001
5.119999979541490e-010	1.212046e-002	1.580895e+000
1.023999995908298e-009	4.171453e-002	2.999588e+000
1.565876606656127e-009	8.479891e-002	4.163232e+000
1.874757219432152e-009	1.143954e-001	4.619106e+000
2.082792797783981e-009	1.360746e-001	4.829189e+000
2.237857096444972e-009	1.526462e-001	4.932330e+000
2.418002829281033e-009	1.719424e-001	4.993366e+000
2.619500382002625e-009	1.931826e-001	4.985912e+000
2.844514156454005e-009	2.157653e-001	4.883314e+000
3.209292262976842e-009	2.479902e-001	4.511629e+000
3.790347101216005e-009	2.853253e-001	3.444779e+000
4.665150503085746e-009	3.106055e-001	1.044217e+000
5.610693643220312e-009	3.009218e-001	-1.871817e+000
6.249054067188197e-009	2.703280e-001	-3.533432e+000
6.643736788872422e-009	2.395472e-001	-4.293661e+000
6.915228219536242e-009	2.134100e-001	-4.666281e+000
7.112686263516588e-009	1.924638e-001	-4.852674e+000
7.264978205146512e-009	1.754708e-001	-4.945584e+000
7.453993580098876e-009	1.538063e-001	-4.997911e+000
7.632896240701949e-009	1.330800e-001	-4.982579e+000
7.866300410660117e-009	1.063595e-001	-4.868157e+000
8.244427229456871e-009	6.531817e-002	-4.462954e+000
8.671864415625719e-009	2.423475e-002	-3.704778e+000
9.089650951964790e-009	-7.556594e-003	-2.706528e+000
9.511113582280919e-009	-2.851073e-002	-1.511842e+000
9.937481940066116e-009	-3.538362e-002	-1.963558e-001
1.054072690221785e-008	-2.191409e-002	1.666251e+000
1.119812625535629e-008	1.654522e-002	3.418442e+000
1.169940022100087e-008	5.976886e-002	4.380625e+000
1.196670686487999e-008	8.705945e-002	4.721923e+000
1.215091234938030e-008	1.070578e-001	4.880208e+000
1.231253353931342e-008	1.248902e-001	4.965354e+000
1.247058173505721e-008	1.423134e-001	4.999146e+000
1.263906472353811e-008	1.605805e-001	4.980925e+000
1.287633052551169e-008	1.851031e-001	4.860872e+000
1.326058870295549e-008	2.201305e-001	4.439832e+000
1.387049704756360e-008	2.602277e-001	3.257984e+000
1.477906249627278e-008	2.857423e-001	6.918685e-001
1.566309539805485e-008	2.731221e-001	-2.023429e+000
1.627960794912973e-008	2.399658e-001	-3.600691e+000
1.666400710782811e-008	2.080815e-001	-4.325943e+000
1.692970137782632e-008	1.815338e-001	-4.682421e+000
1.712341124401859e-008	1.604656e-001	-4.860682e+000
1.727832917049730e-008	1.428665e-001	-4.951581e+000
1.744685470533130e-008	1.232783e-001	-4.997213e+000
1.763024067355187e-008	1.017817e-001	-4.983268e+000
1.786198199966186e-008	7.498513e-002	-4.871234e+000
1.823746619113298e-008	3.386072e-002	-4.472771e+000
1.866547859922216e-008	-7.504673e-003	-3.718220e+000
1.910235337923364e-008	-4.059583e-002	-2.672889e+000
1.954070996093030e-008	-6.149215e-002	-1.422958e+000
2.000000000000000e-008	-7.244912e-002	-2.449294e-015
