time	V(vd)	V(n001)	I(R1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-008	0.000000e+000	0.000000e+000	0.000000e+000
1.575999967722396e-008	2.181003e-005	1.809557e-004	-1.545104e-008
2.151999935444793e-008	5.978716e-005	3.619115e-004	-2.933246e-008
2.727999903167189e-008	1.139314e-004	5.428672e-004	-4.164425e-008
3.303999870889585e-008	1.842427e-004	7.238229e-004	-5.238642e-008
3.879999838611981e-008	2.707212e-004	9.047786e-004	-6.155897e-008
4.455999806334377e-008	3.733668e-004	1.085734e-003	-6.916190e-008
5.031999774056771e-008	4.921794e-004	1.266690e-003	-7.519521e-008
7.746265209331919e-008	1.098321e-003	2.119402e-003	-9.913408e-008
1.069814811609290e-007	1.884862e-003	3.046763e-003	-1.128059e-007
1.421829223314012e-007	2.914441e-003	4.152649e-003	-1.202143e-007
1.889943209639724e-007	4.345748e-003	5.623271e-003	-1.240314e-007
6.430912732000977e-007	1.857245e-002	1.988910e-002	-1.278275e-007
1.147729712092411e-006	3.439789e-002	3.574253e-002	-1.305276e-007
2.157006589877038e-006	6.599614e-002	6.744815e-002	-1.408203e-007
4.175560345446292e-006	1.281781e-001	1.308500e-001	-2.582153e-007
8.212667856584801e-006	2.419355e-001	2.575803e-001	-1.515016e-006
1.214598563835850e-005	3.247873e-001	3.808939e-001	-5.440358e-006
1.684114150020841e-005	3.809205e-001	5.277808e-001	-1.424153e-005
2.362207889289474e-005	4.221399e-001	7.390772e-001	-3.074040e-005
2.995128193663645e-005	4.439197e-001	9.350945e-001	-4.762789e-005
3.995128193663645e-005	4.654138e-001	1.241663e+000	-7.524502e-005
4.995128193663645e-005	4.806406e-001	1.543330e+000	-1.030259e-004
6.995128193663645e-005	5.003098e-001	2.127227e+000	-1.577494e-004
8.995128193663645e-005	5.133781e-001	2.677576e+000	-2.098598e-004
1.099512819366365e-004	5.228710e-001	3.185698e+000	-2.582218e-004
1.299512819366365e-004	5.300208e-001	3.643580e+000	-3.019383e-004
1.499512819366365e-004	5.354777e-001	4.044001e+000	-3.402459e-004
1.699512819366364e-004	5.396138e-001	4.380644e+000	-3.724960e-004
1.899512819366364e-004	5.426559e-001	4.648203e+000	-3.981515e-004
2.099512819366364e-004	5.447455e-001	4.842457e+000	-4.167896e-004
