time	I(D1)
0.000000000000000e+000	0.000000e+000
1.599999993606716e-011	4.878419e-006
3.199999987213431e-011	9.753665e-006
6.399999974426862e-011	1.949060e-005
1.279999994885372e-010	3.888455e-005
2.559999989770745e-010	7.714939e-005
5.119999979541490e-010	1.500188e-004
1.023999995908298e-009	2.792080e-004
1.565876606656127e-009	3.895545e-004
1.874757219432152e-009	4.345396e-004
2.082792797783981e-009	4.541558e-004
2.237857096444972e-009	4.627269e-004
2.418002829281033e-009	4.663643e-004
2.619500382002625e-009	4.631515e-004
2.844514156454005e-009	4.493570e-004
3.209292262976842e-009	4.050570e-004
3.790347101216005e-009	2.913536e-004
4.665150503085746e-009	6.373169e-005
5.610693643220312e-009	-2.020419e-004
6.249054067188197e-009	-3.612796e-004
6.643736788872422e-009	-4.357882e-004
6.915228219536242e-009	-4.713755e-004
7.112686263516588e-009	-4.884253e-004
7.264978205146512e-009	-4.958254e-004
7.453993580098876e-009	-4.985492e-004
7.632896240701949e-009	-4.946772e-004
7.866300410660117e-009	-4.788897e-004
8.244427229456871e-009	-4.327990e-004
8.671864415625719e-009	-3.557260e-004
9.089650951964790e-009	-2.575006e-004
9.511113582280919e-009	-1.414313e-004
9.937481940066116e-009	-1.559795e-005
1.054072690221785e-008	1.574514e-004
1.119812625535629e-008	3.199851e-004
1.169940022100087e-008	4.140642e-004
1.196670686487999e-008	4.477776e-004
1.215091234938030e-008	4.620234e-004
1.231253353931342e-008	4.687338e-004
1.247058173505721e-008	4.702626e-004
1.263906472353811e-008	4.660919e-004
1.287633052551169e-008	4.497589e-004
1.326058870295549e-008	4.000491e-004
1.387049704756360e-008	2.753506e-004
1.477906249627278e-008	3.406245e-005
1.566309539805485e-008	-2.139169e-004
1.627960794912973e-008	-3.651572e-004
1.666400710782811e-008	-4.360367e-004
1.692970137782632e-008	-4.699351e-004
1.712341124401859e-008	-4.860964e-004
1.727832917049730e-008	-4.933684e-004
1.744685470533130e-008	-4.956565e-004
1.763024067355187e-008	-4.916695e-004
1.786198199966186e-008	-4.761964e-004
1.823746619113298e-008	-4.307235e-004
1.866547859922216e-008	-3.536528e-004
1.910235337923364e-008	-2.506891e-004
1.954070996093030e-008	-1.294916e-004
2.000000000000000e-008	7.038100e-006
