time	V(vd)	V(n001)
0.000000000000000e+000	0.000000e+000	0.000000e+000
3.657142842529637e-010	6.693032e-005	1.148934e-002
7.314285685059273e-010	2.554834e-004	2.297848e-002
1.097142852758891e-009	5.656593e-004	3.446743e-002
1.462857137011855e-009	9.974580e-004	4.595619e-002
1.828571421264818e-009	1.550880e-003	5.744476e-002
2.194285705517782e-009	2.225924e-003	6.893313e-002
2.559999989770745e-009	3.022591e-003	8.042131e-002
5.119999979541490e-009	1.116394e-002	1.608218e-001
8.955400421045425e-009	3.142614e-002	2.811938e-001
1.470589771069104e-008	7.740057e-002	4.613423e-001
2.250912160576016e-008	1.617402e-001	7.047899e-001
3.312274071761021e-008	2.825303e-001	1.033086e+000
4.693278362426935e-008	3.973010e-001	1.453160e+000
6.010763458021064e-008	4.527073e-001	1.843766e+000
7.592663170230469e-008	4.809290e-001	2.295852e+000
1.025219911133605e-007	5.044050e-001	3.002654e+000
1.557127099354722e-007	5.298645e-001	4.147947e+000
1.853934570921569e-007	5.384368e-001	4.593668e+000
2.067469784976911e-007	5.420945e-001	4.816491e+000
2.226326732473964e-007	5.438327e-001	4.926261e+000
2.403994743536057e-007	5.450538e-001	4.990906e+000
2.614280049372976e-007	5.457554e-001	4.987116e+000
2.836022635937014e-007	5.454633e-001	4.888975e+000
3.195586842968583e-007	5.424463e-001	4.530021e+000
3.768855534595604e-007	5.281752e-001	3.493400e+000
4.634289789611116e-007	1.164229e-001	1.138829e+000
5.758005746227996e-007	-1.539688e+000	-2.292333e+000
6.183124427700072e-007	-2.598109e+000	-3.383897e+000
6.563533385069169e-007	-3.579200e+000	-4.159151e+000
6.995739916656826e-007	-4.418067e+000	-4.751130e+000
7.172564967434986e-007	-4.660752e+000	-4.894557e+000
7.339035636273457e-007	-4.810199e+000	-4.974450e+000
7.517654337077478e-007	-4.909557e+000	-4.999692e+000
7.678746656732524e-007	-4.937267e+000	-4.968499e+000
7.940820538977687e-007	-4.850913e+000	-4.809434e+000
8.364268421034574e-007	-4.422952e+000	-4.280719e+000
9.031005926724028e-007	-3.203849e+000	-2.859569e+000
1.000131967362436e-006	-8.802873e-001	4.145877e-003
1.049708360636137e-006	1.735275e-001	1.536369e+000
1.078863109995383e-006	4.610019e-001	2.377409e+000
1.106080030190090e-006	5.067264e-001	3.091274e+000
1.134122603732180e-006	5.223423e-001	3.732270e+000
1.173198352002702e-006	5.350016e-001	4.429052e+000
1.198050485912967e-006	5.403496e-001	4.736001e+000
1.216119464283417e-006	5.429282e-001	4.887135e+000
1.232531132250641e-006	5.444905e-001	4.969912e+000
1.249328004767837e-006	5.454771e-001	4.999956e+000
1.264750230570213e-006	5.458178e-001	4.978542e+000
1.289004812098340e-006	5.451963e-001	4.850596e+000
1.328267668374202e-006	5.410889e-001	4.407492e+000
1.390486379572251e-006	5.243648e-001	3.175332e+000
1.460559474253312e-006	3.115307e-001	1.226418e+000
1.541166097496041e-006	-6.005252e-001	-1.278899e+000
1.584463198349042e-006	-1.624426e+000	-2.530677e+000
1.615596311863416e-006	-2.540830e+000	-3.320588e+000
1.657032755284144e-006	-3.592478e+000	-4.170960e+000
1.699550621811459e-006	-4.418534e+000	-4.750901e+000
1.717239041847811e-006	-4.660532e+000	-4.894445e+000
1.733882574931758e-006	-4.810048e+000	-4.974383e+000
1.751728162627981e-006	-4.909446e+000	-4.999705e+000
1.767813977893928e-006	-4.937292e+000	-4.968713e+000
1.793983474279869e-006	-4.851508e+000	-4.810280e+000
1.836268678550775e-006	-4.425141e+000	-4.283285e+000
1.902857322529024e-006	-3.209130e+000	-2.865835e+000
1.999801183755539e-006	-8.703176e-001	-6.245995e-003
2.000000000000000e-006	-8.650739e-001	-1.133108e-014
