time	V(vd)	V(n001)	I(R1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-008	0.000000e+000	0.000000e+000	0.000000e+000
1.078545986069054e-008	3.621915e-005	2.467595e-003	-2.360559e-007
1.183273967494459e-008	1.680593e-004	5.757720e-003	-5.426854e-007
1.391781002518375e-008	7.154084e-004	1.230815e-002	-1.125508e-006
1.808795072566207e-008	2.648444e-003	2.540894e-002	-2.209751e-006
2.301274615861126e-008	6.304877e-003	4.088029e-002	-3.356821e-006
3.065201588330069e-008	1.456905e-002	6.487840e-002	-4.884357e-006
4.010368494279213e-008	2.832929e-002	9.456788e-002	-6.430809e-006
5.363119278534984e-008	5.326121e-002	1.370543e-001	-8.134937e-006
7.064817686557205e-008	9.068120e-002	1.904858e-001	-9.688997e-006
9.441942590123171e-008	1.496214e-001	2.650871e-001	-1.120831e-005
1.257634661355741e-007	2.287560e-001	3.633611e-001	-1.306341e-005
1.702889067145016e-007	3.226186e-001	5.027116e-001	-1.747410e-005
2.194962184079172e-007	3.877411e-001	6.562529e-001	-2.605238e-005
2.731484329860202e-007	4.229059e-001	8.229436e-001	-3.880691e-005
3.463084797710172e-007	4.476242e-001	1.048699e+000	-5.829573e-005
4.286416624675830e-007	4.652859e-001	1.300087e+000	-8.094475e-005
5.286416624675830e-007	4.803673e-001	1.600676e+000	-1.086145e-004
6.286416624675830e-007	4.915931e-001	1.894947e+000	-1.360664e-004
8.286416624675830e-007	5.073314e-001	2.459923e+000	-1.893363e-004
1.028641662467583e-006	5.184191e-001	2.986103e+000	-2.392950e-004
1.228641662467583e-006	5.266488e-001	3.465191e+000	-2.849635e-004
1.428641662467582e-006	5.329030e-001	3.889632e+000	-3.255234e-004
1.628641662467582e-006	5.376713e-001	4.252730e+000	-3.602779e-004
1.828641662467582e-006	5.412439e-001	4.548760e+000	-3.886435e-004
2.028641662467582e-006	5.438004e-001	4.773053e+000	-4.101499e-004
2.228641662467582e-006	5.454528e-001	4.922073e+000	-4.244431e-004
2.428641662467581e-006	5.462669e-001	4.993469e+000	-4.312888e-004
2.628641662467581e-006	5.462734e-001	4.986114e+000	-4.305749e-004
2.828641662467581e-006	5.454726e-001	4.900126e+000	-4.223125e-004
3.028641662467581e-006	5.438345e-001	4.736859e+000	-4.066360e-004
