time	V(vd)	V(n001)	I(R1)
1.013481972913375e-001	3.273496e-001	4.230392e-001	9.268585e-006
1.020081465350365e-001	4.029438e-001	6.292021e-001	2.193986e-005
1.026857820270176e-001	4.344273e-001	8.397612e-001	3.930807e-005
1.035037187999699e-001	4.560349e-001	1.091853e+000	6.164422e-005
1.045037187999699e-001	4.737224e-001	1.396074e+000	8.942123e-005
1.055037187999699e-001	4.865621e-001	1.694786e+000	1.171544e-004
1.075037187999699e-001	5.041000e-001	2.270991e+000	1.713299e-004
1.095037187999699e-001	5.160834e-001	2.811380e+000	2.225761e-004
1.115037187999699e-001	5.248902e-001	3.307433e+000	2.698334e-004
1.135037187999699e-001	5.315595e-001	3.751326e+000	3.122395e-004
1.155037187999699e-001	5.366505e-001	4.136058e+000	3.490610e-004
1.175037187999699e-001	5.404893e-001	4.455562e+000	3.796774e-004
1.195037187999699e-001	5.432768e-001	4.704798e+000	4.035806e-004
1.215037187999699e-001	5.451385e-001	4.879838e+000	4.203772e-004
1.235037187999699e-001	5.461498e-001	4.977919e+000	4.297921e-004
1.255037187999699e-001	5.463490e-001	4.997496e+000	4.316715e-004
1.275037187999699e-001	5.457435e-001	4.938259e+000	4.259849e-004
1.295037187999699e-001	5.443107e-001	4.801143e+000	4.128249e-004
1.315037187999699e-001	5.419948e-001	4.588310e+000	3.924067e-004
1.335037187999699e-001	5.386972e-001	4.303117e+000	3.650655e-004
1.355037187999699e-001	5.342588e-001	3.950061e+000	3.312530e-004
1.375037187999699e-001	5.284238e-001	3.534710e+000	2.915340e-004
1.395037187999699e-001	5.207671e-001	3.063615e+000	2.465852e-004
1.415037187999699e-001	5.105270e-001	2.544204e+000	1.972013e-004
1.435037187999699e-001	4.961517e-001	1.984670e+000	1.443282e-004
1.445037187999699e-001	4.863840e-001	1.692593e+000	1.169497e-004
1.455037187999699e-001	4.736560e-001	1.393837e+000	8.921484e-005
1.465037187999699e-001	4.554179e-001	1.089579e+000	6.147810e-005
1.475037187999699e-001	4.231332e-001	7.810215e-001	3.467770e-005
1.485037187999699e-001	3.412620e-001	4.693816e-001	1.240088e-005
1.493192459330169e-001	1.886692e-001	2.138031e-001	2.426975e-006
1.501001369381723e-001	-3.204243e-002	-3.145560e-002	5.793747e-008
1.507637868078938e-001	-2.397241e-001	-2.398555e-001	-3.362632e-009
1.523898029668810e-001	-7.471834e-001	-7.479575e-001	-3.517129e-009
1.543898029668810e-001	-1.360296e+000	-1.361675e+000	-3.379923e-009
1.563898029668810e-001	-1.951956e+000	-1.953917e+000	-3.272537e-009
1.583898029668810e-001	-2.512831e+000	-2.515345e+000	-3.179663e-009
1.603898029668811e-001	-3.034076e+000	-3.037105e+000	-3.094434e-009
1.623898029668811e-001	-3.507473e+000	-3.510967e+000	-3.013351e-009
1.643898029668811e-001	-3.925553e+000	-3.929460e+000	-2.934495e-009
1.663898029668811e-001	-4.281724e+000	-4.285983e+000	-2.856780e-009
1.683898029668811e-001	-4.570371e+000	-4.574913e+000	-2.779588e-009
1.703898029668811e-001	-4.786939e+000	-4.791694e+000	-2.702578e-009
1.723898029668811e-001	-4.928013e+000	-4.932907e+000	-2.625578e-009
1.743898029668811e-001	-4.991370e+000	-4.996325e+000	-2.548521e-009
1.763898029668811e-001	-4.976009e+000	-4.980949e+000	-2.471388e-009
1.783898029668811e-001	-4.882173e+000	-4.887020e+000	-2.394169e-009
1.803898029668811e-001	-4.711342e+000	-4.716019e+000	-2.316837e-009
