time	I(D1)
0.000000000000000e+000	0.000000e+000
1.462857137011855e-009	4.349962e-008
2.925714274023709e-009	8.533513e-008
4.388571411035564e-009	1.255065e-007
5.851428548047419e-009	1.640138e-007
7.314285685059273e-009	2.008570e-007
8.777142822071128e-009	2.360361e-007
1.023999995908298e-008	2.695511e-007
2.047999991816596e-008	4.808965e-007
3.126024035586008e-008	6.579500e-007
4.455557127562891e-008	8.196777e-007
6.165449081578895e-008	9.642288e-007
8.501987649191171e-008	1.088477e-006
1.162047756989213e-007	1.179867e-006
1.600774296875394e-007	1.240164e-006
2.238244982774385e-007	1.277591e-006
3.270385793588760e-007	1.314761e-006
5.190227059912078e-007	1.487042e-006
9.029909592558714e-007	2.941751e-006
1.306012572463549e-006	7.331526e-006
1.773761335091804e-006	1.639409e-005
2.394067461084149e-006	3.165289e-005
3.043325360993591e-006	4.903073e-005
4.043325360993591e-006	7.665744e-005
5.043325360993591e-006	1.044400e-004
7.043325360993591e-006	1.590893e-004
9.043325360993591e-006	2.111096e-004
1.104332536099359e-005	2.593641e-004
1.304332536099359e-005	3.029542e-004
1.504332536099359e-005	3.411186e-004
1.704332536099360e-005	3.732114e-004
1.904332536099360e-005	3.986980e-004
2.104332536099360e-005	4.171584e-004
2.304332536099360e-005	4.282897e-004
2.504332536099360e-005	4.319101e-004
2.704332536099360e-005	4.279606e-004
2.904332536099360e-005	4.165054e-004
3.104332536099360e-005	3.977318e-004
3.304332536099360e-005	3.719473e-004
3.504332536099359e-005	3.395773e-004
3.704332536099358e-005	3.011606e-004
3.904332536099358e-005	2.573478e-004
4.104332536099357e-005	2.089046e-004
4.304332536099357e-005	1.567349e-004
4.504332536099356e-005	1.019835e-004
4.604332536099356e-005	7.417416e-005
4.704332536099356e-005	4.669954e-005
4.804332536099355e-005	2.168352e-005
4.904332536099355e-005	4.070578e-006
4.977680089896867e-005	-9.757450e-007
5.021415391354192e-005	-1.240315e-006
5.064761983399100e-005	-1.175042e-006
5.182411922106214e-005	-1.050744e-006
5.282411922106214e-005	-9.698562e-007
5.382411922106214e-005	-8.992802e-007
5.582411922106213e-005	-7.839487e-007
5.782411922106213e-005	-6.867662e-007
5.982411922106212e-005	-5.989729e-007
6.182411922106212e-005	-5.162711e-007
6.382411922106212e-005	-4.363559e-007
6.582411922106211e-005	-3.579331e-007
6.782411922106211e-005	-2.802673e-007
6.982411922106210e-005	-2.029503e-007
7.182411922106210e-005	-1.257712e-007
7.382411922106209e-005	-4.863699e-008
7.582411922106208e-005	2.848332e-008
7.782411922106208e-005	1.055900e-007
7.982411922106207e-005	1.827089e-007
8.182411922106207e-005	2.599114e-007
8.382411922106206e-005	3.373740e-007
8.582411922106206e-005	4.154471e-007
8.782411922106205e-005	4.947693e-007
8.982411922106205e-005	5.764649e-007
9.182411922106204e-005	6.625199e-007
9.382411922106203e-005	7.565710e-007
9.582411922106203e-005	8.657937e-007
9.682411922106203e-005	9.304566e-007
9.782411922106202e-005	1.006352e-006
9.882411922106202e-005	1.100242e-006
9.982411922106202e-005	1.344011e-006
1.008241192210620e-004	3.901846e-006
1.014585794356415e-004	1.108233e-005
1.022244152226248e-004	2.755652e-005
1.029888977486993e-004	4.756212e-005
1.037621077869623e-004	6.883027e-005
1.047621077869623e-004	9.663393e-005
1.057621077869623e-004	1.242927e-004
1.077621077869623e-004	1.781545e-004
1.097621077869623e-004	2.289356e-004
1.117621077869623e-004	2.756092e-004
1.137621077869623e-004	3.173308e-004
1.157621077869623e-004	3.533817e-004
1.177621077869623e-004	3.831559e-004
1.197621077869623e-004	4.061597e-004
1.217621077869623e-004	4.220146e-004
1.237621077869622e-004	4.304612e-004
1.257621077869622e-004	4.313614e-004
1.277621077869622e-004	4.247005e-004
1.297621077869622e-004	4.105873e-004
1.317621077869622e-004	3.892524e-004
1.337621077869622e-004	3.610462e-004
1.357621077869622e-004	3.264352e-004
1.377621077869622e-004	2.859984e-004
1.397621077869622e-004	2.404270e-004
1.417621077869622e-004	1.905316e-004
1.437621077869622e-004	1.372823e-004
1.447621077869622e-004	1.097820e-004
1.457621077869622e-004	8.199277e-005
1.467621077869622e-004	5.433290e-005
1.477621077869622e-004	2.812354e-005
1.487621077869622e-004	7.027651e-006
1.494063460350365e-004	7.305015e-008
1.500014988116544e-004	-1.226812e-006
1.503653851802308e-004	-1.214756e-006
1.513609701238725e-004	-1.097638e-006
1.523609701238725e-004	-1.006635e-006
1.533609701238725e-004	-9.304501e-007
1.543609701238725e-004	-8.659752e-007
1.563609701238725e-004	-7.567279e-007
1.583609701238725e-004	-6.626171e-007
1.603609701238725e-004	-5.764716e-007
1.623609701238724e-004	-4.946700e-007
1.643609701238724e-004	-4.152397e-007
1.663609701238724e-004	-3.370659e-007
1.683609701238724e-004	-2.595166e-007
1.703609701238724e-004	-1.822461e-007
1.723609701238724e-004	-1.050807e-007
1.743609701238724e-004	-2.794796e-008
1.763609701238724e-004	4.916976e-008
1.783609701238724e-004	1.262786e-007
1.803609701238724e-004	2.034109e-007
1.823609701238724e-004	2.806615e-007
1.843609701238724e-004	3.582451e-007
1.863609701238724e-004	4.365760e-007
1.883609701238724e-004	5.163987e-007
1.903609701238724e-004	5.990208e-007
1.923609701238724e-004	6.867670e-007
1.943609701238724e-004	7.839616e-007
1.953609701238724e-004	8.385380e-007
1.963609701238724e-004	8.993845e-007
1.973609701238723e-004	9.694768e-007
1.983609701238723e-004	1.053854e-006
1.993609701238723e-004	1.159695e-006
2.000000000000000e-004	1.242976e-006
