time	V(vd)	V(n001)	I(R1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-008	0.000000e+000	0.000000e+000	0.000000e+000
1.019085399982411e-008	2.185365e-005	5.995854e-003	-5.799998e-007
1.044532599958959e-008	1.019118e-004	1.399031e-002	-1.348386e-006
1.095426999912055e-008	4.431209e-004	2.997910e-002	-2.867553e-006
1.197215799818247e-008	1.832758e-003	6.195559e-002	-5.837023e-006
1.400793399630630e-008	7.070628e-003	1.258997e-001	-1.153588e-005
1.736334998846317e-008	2.191204e-002	2.312440e-001	-2.031952e-005
2.232975665621924e-008	5.635610e-002	3.869634e-001	-3.208419e-005
2.933286470760998e-008	1.253368e-001	6.058673e-001	-4.661268e-005
3.893388283232393e-008	2.391807e-001	9.039860e-001	-6.446068e-005
4.893388283232393e-008	3.471459e-001	1.210981e+000	-8.375148e-005
5.893388283232393e-008	4.169397e-001	1.513197e+000	-1.062878e-004
6.893388283232393e-008	4.530381e-001	1.809441e+000	-1.315162e-004
7.893388283232392e-008	4.735350e-001	2.098543e+000	-1.575668e-004
8.893388283232392e-008	4.874168e-001	2.379364e+000	-1.834563e-004
1.089338828323239e-007	5.056016e-001	2.911764e+000	-2.333291e-004
1.289338828323239e-007	5.172719e-001	3.398243e+000	-2.793805e-004
1.489338828323239e-007	5.257362e-001	3.831131e+000	-3.205451e-004
1.689338828323240e-007	5.321357e-001	4.203598e+000	-3.560500e-004
1.889338828323240e-007	5.370060e-001	4.509773e+000	-3.852736e-004
2.089338828323240e-007	5.406553e-001	4.744826e+000	-4.077174e-004
2.289338828323240e-007	5.432729e-001	4.905050e+000	-4.230037e-004
2.489338828323240e-007	5.449769e-001	4.987919e+000	-4.308758e-004
2.689338828323240e-007	5.458369e-001	4.992125e+000	-4.312002e-004
2.889338828323240e-007	5.458867e-001	4.917602e+000	-4.239673e-004
3.089338828323241e-007	5.451291e-001	4.765526e+000	-4.092908e-004
3.289338828323241e-007	5.435365e-001	4.538294e+000	-3.874058e-004
3.489338828323241e-007	5.410473e-001	4.239491e+000	-3.586661e-004
3.689338828323241e-007	5.375551e-001	3.873829e+000	-3.235390e-004
3.889338828323241e-007	5.328888e-001	3.447074e+000	-2.826004e-004
4.089338828323242e-007	5.267742e-001	2.965957e+000	-2.365297e-004
