time	I(D1)
0.000000000000000e+000	0.000000e+000
1.828571421264818e-010	5.562956e-006
3.657142842529637e-010	1.109151e-005
5.485714263794455e-010	1.658566e-005
7.314285685059273e-010	2.204540e-005
9.142857106324091e-010	2.747074e-005
1.097142852758891e-009	3.286168e-005
1.279999994885372e-009	3.821821e-005
2.559999989770745e-009	7.458906e-005
5.061408934472752e-009	1.407193e-004
8.209290877124639e-009	2.146214e-004
1.266579080917405e-008	3.040797e-004
1.717347379822233e-008	3.776056e-004
2.041863236403496e-008	4.159880e-004
2.207092990360165e-008	4.279588e-004
2.380685731663207e-008	4.335799e-004
2.605582896411860e-008	4.327076e-004
2.821873937800678e-008	4.221583e-004
3.172737490198476e-008	3.839619e-004
3.732955803644623e-008	2.811494e-004
4.582449645197303e-008	6.691406e-005
5.595553457582162e-008	-2.148748e-004
6.214257990412244e-008	-3.612622e-004
6.639993660560606e-008	-4.219819e-004
6.912560787539975e-008	-4.349362e-004
7.110711578327249e-008	-4.315455e-004
7.262519277008993e-008	-4.222882e-004
7.450950170936534e-008	-4.038569e-004
7.631764209034009e-008	-3.797681e-004
7.864459559707723e-008	-3.394799e-004
8.241460084360960e-008	-2.581286e-004
8.840663120040845e-008	-1.082855e-004
9.709758347839146e-008	1.096464e-004
1.072267503652554e-007	3.222172e-004
1.131467574916074e-007	4.055990e-004
1.168743260467764e-007	4.324434e-004
1.198540465801814e-007	4.405034e-004
1.216484955113874e-007	4.416825e-004
1.232976486363981e-007	4.420843e-004
1.248051266818619e-007	4.412820e-004
1.264275661393485e-007	4.366496e-004
1.288233301275519e-007	4.204831e-004
1.327025604598435e-007	3.716169e-004
1.388554953267118e-007	2.478578e-004
1.480024360686363e-007	7.276897e-006
1.561321914946813e-007	-2.189995e-004
1.619887067189080e-007	-3.512644e-004
1.669002807578043e-007	-4.137527e-004
1.696253703303042e-007	-4.233040e-004
1.714780793700326e-007	-4.180846e-004
1.730867456418200e-007	-4.069729e-004
1.746372585867861e-007	-3.910571e-004
1.763651560066858e-007	-3.675947e-004
1.787218574049236e-007	-3.267918e-004
1.825391134581405e-007	-2.448242e-004
1.886009018422067e-007	-9.455551e-005
1.975402858126783e-007	1.373232e-004
2.000000000000000e-007	1.985706e-004
