time	V(vd)	V(n001)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.462857137011855e-009	1.152373e-005	4.595701e-004
2.925714274023709e-009	4.018821e-005	9.191402e-004
4.388571411035564e-009	8.599344e-005	1.378710e-003
5.851428548047419e-009	1.489394e-004	1.838280e-003
7.314285685059273e-009	2.290261e-004	2.297851e-003
8.777142822071128e-009	3.262536e-004	2.757421e-003
1.023999995908298e-008	4.406218e-004	3.216991e-003
2.047999991816596e-008	1.480776e-003	6.433980e-003
3.126024035586008e-008	3.043849e-003	9.820688e-003
4.455557127562891e-008	5.554902e-003	1.399753e-002
6.165449081578895e-008	9.437790e-003	1.936928e-002
8.501987649191171e-008	1.549841e-002	2.670966e-002
1.162047756989213e-007	2.435390e-002	3.650648e-002
1.600774296875394e-007	3.751520e-002	5.028896e-002
2.238244982774385e-007	5.715460e-002	7.031422e-002
3.270385793588760e-007	8.919077e-002	1.027350e-001
5.190227059912078e-007	1.476971e-001	1.630269e-001
9.029909592558714e-007	2.531873e-001	2.835308e-001
1.306012572463549e-006	3.342553e-001	4.098356e-001
1.773761335091804e-006	3.870939e-001	5.560907e-001
2.394067461084149e-006	4.229830e-001	7.492853e-001
3.043325360993591e-006	4.446424e-001	9.502730e-001
4.043325360993591e-006	4.659353e-001	1.256628e+000
5.043325360993591e-006	4.810142e-001	1.558024e+000
7.043325360993591e-006	5.005500e-001	2.141204e+000
9.043325360993591e-006	5.135465e-001	2.690616e+000
1.104332536099359e-005	5.229965e-001	3.197596e+000
1.304332536099359e-005	5.301165e-001	3.654147e+000
1.504332536099359e-005	5.355508e-001	4.053071e+000
1.704332536099360e-005	5.396687e-001	4.388074e+000
1.904332536099360e-005	5.426952e-001	4.653876e+000
2.104332536099360e-005	5.447708e-001	4.846283e+000
2.304332536099360e-005	5.459818e-001	4.962261e+000
2.504332536099360e-005	5.463743e-001	4.999981e+000
2.704332536099360e-005	5.459632e-001	4.958849e+000
2.904332536099360e-005	5.447329e-001	4.839513e+000
3.104332536099360e-005	5.426365e-001	4.643855e+000
3.304332536099360e-005	5.395867e-001	4.374960e+000
3.504332536099359e-005	5.354414e-001	4.037070e+000
3.704332536099358e-005	5.299730e-001	3.635512e+000
3.904332536099358e-005	5.228072e-001	3.176621e+000
4.104332536099357e-005	5.132885e-001	2.667632e+000
4.304332536099357e-005	5.001308e-001	2.116573e+000
4.504332536099356e-005	4.802596e-001	1.532134e+000
4.604332536099356e-005	4.651345e-001	1.230261e+000
4.704332536099356e-005	4.416625e-001	9.235331e-001
4.804332536099355e-005	3.892381e-001	6.131601e-001
4.904332536099355e-005	2.582128e-001	3.003672e-001
4.977680089896867e-005	8.013929e-002	7.011776e-002
5.021415391354192e-005	-5.448398e-002	-6.727640e-002
5.064761983399100e-005	-1.912498e-001	-2.033996e-001
5.182411922106214e-005	-5.605798e-001	-5.718101e-001
5.282411922106214e-005	-8.717142e-001	-8.825746e-001
5.382411922106214e-005	-1.179419e+000	-1.189856e+000
5.582411922106213e-005	-1.779297e+000	-1.789137e+000
5.782411922106213e-005	-2.350800e+000	-2.360202e+000
5.982411922106212e-005	-2.885021e+000	-2.894046e+000
6.182411922106212e-005	-3.373594e+000	-3.382248e+000
6.382411922106212e-005	-3.808850e+000	-3.817111e+000
6.582411922106211e-005	-4.183952e+000	-4.191776e+000
6.782411922106211e-005	-4.493006e+000	-4.500333e+000
6.982411922106210e-005	-4.731153e+000	-4.737918e+000
7.182411922106210e-005	-4.894652e+000	-4.900783e+000
7.382411922106209e-005	-4.980938e+000	-4.986360e+000
7.582411922106208e-005	-4.988665e+000	-4.993299e+000
7.782411922106208e-005	-4.917721e+000	-4.921490e+000
7.982411922106207e-005	-4.769239e+000	-4.772067e+000
8.182411922106207e-005	-4.545575e+000	-4.547385e+000
8.382411922106206e-005	-4.250268e+000	-4.250988e+000
8.582411922106206e-005	-3.887994e+000	-3.887551e+000
8.782411922106205e-005	-3.464484e+000	-3.462805e+000
8.982411922106205e-005	-2.986441e+000	-2.983448e+000
9.182411922106204e-005	-2.461440e+000	-2.457040e+000
9.382411922106203e-005	-1.897810e+000	-1.891884e+000
9.582411922106203e-005	-1.304529e+000	-1.296891e+000
9.682411922106203e-005	-9.997298e-001	-9.911242e-001
9.782411922106202e-005	-6.911386e-001	-6.814457e-001
9.882411922106202e-005	-3.800461e-001	-3.690779e-001
9.982411922106202e-005	-6.904222e-002	-5.525345e-002
1.008241192210620e-004	2.184621e-001	2.587890e-001
1.014585794356415e-004	3.432542e-001	4.575851e-001
1.022244152226248e-004	4.125168e-001	6.965477e-001
1.029888977486993e-004	4.433126e-001	9.334803e-001
1.037621077869623e-004	4.612735e-001	1.170925e+000
1.047621077869623e-004	4.773040e-001	1.473837e+000
1.057621077869623e-004	4.891976e-001	1.770932e+000
1.077621077869623e-004	5.057420e-001	2.343010e+000
1.097621077869623e-004	5.172705e-001	2.878138e+000
1.117621077869623e-004	5.257817e-001	3.367875e+000
1.137621077869623e-004	5.322402e-001	3.804499e+000
1.157621077869623e-004	5.371683e-001	4.181124e+000
1.177621077869623e-004	5.408732e-001	4.491810e+000
1.197621077869623e-004	5.435451e-001	4.731658e+000
1.217621077869623e-004	5.453025e-001	4.896884e+000
1.237621077869622e-004	5.462157e-001	4.984884e+000
1.257621077869622e-004	5.463192e-001	4.994269e+000
1.277621077869622e-004	5.456170e-001	4.924891e+000
1.297621077869622e-004	5.440828e-001	4.777845e+000
1.317621077869622e-004	5.416561e-001	4.555450e+000
1.337621077869622e-004	5.382326e-001	4.261212e+000
1.357621077869622e-004	5.336439e-001	3.899773e+000
1.377621077869622e-004	5.276192e-001	3.476831e+000
1.397621077869622e-004	5.197050e-001	2.999058e+000
1.417621077869622e-004	5.090796e-001	2.473989e+000
1.437621077869622e-004	4.940349e-001	1.909902e+000
1.447621077869622e-004	4.836912e-001	1.615988e+000
1.457621077869622e-004	4.700105e-001	1.315696e+000
1.467621077869622e-004	4.497700e-001	1.010211e+000
1.477621077869622e-004	4.104643e-001	7.007402e-001
1.487621077869622e-004	3.158545e-001	3.885033e-001
1.494063460350365e-004	1.856351e-001	1.864586e-001
1.500014988116544e-004	1.216024e-002	-4.708656e-004
1.503653851802308e-004	-1.022537e-001	-1.147791e-001
1.513609701238725e-004	-4.154321e-001	-4.270405e-001
1.523609701238725e-004	-7.279058e-001	-7.390032e-001
1.533609701238725e-004	-1.037432e+000	-1.048049e+000
1.543609701238725e-004	-1.342705e+000	-1.352960e+000
1.563609701238725e-004	-1.935865e+000	-1.945579e+000
1.583609701238725e-004	-2.498216e+000	-2.507515e+000
1.603609701238725e-004	-3.020979e+000	-3.029907e+000
1.623609701238724e-004	-3.495962e+000	-3.504515e+000
1.643609701238724e-004	-3.915706e+000	-3.923854e+000
1.663609701238724e-004	-4.273616e+000	-4.281312e+000
1.683609701238724e-004	-4.564068e+000	-4.571252e+000
1.703609701238724e-004	-4.782497e+000	-4.789100e+000
1.723609701238724e-004	-4.925472e+000	-4.931421e+000
1.743609701238724e-004	-4.990753e+000	-4.995970e+000
1.763609701238724e-004	-4.977322e+000	-4.981730e+000
1.783609701238724e-004	-4.885402e+000	-4.888926e+000
1.803609701238724e-004	-4.716458e+000	-4.719019e+000
1.823609701238724e-004	-4.473167e+000	-4.474691e+000
1.843609701238724e-004	-4.159380e+000	-4.159795e+000
1.863609701238724e-004	-3.780064e+000	-3.779296e+000
1.883609701238724e-004	-3.341220e+000	-3.339196e+000
1.903609701238724e-004	-2.849795e+000	-2.846434e+000
1.923609701238724e-004	-2.313578e+000	-2.308782e+000
1.943609701238724e-004	-1.741083e+000	-1.734720e+000
1.953609701238724e-004	-1.444064e+000	-1.436845e+000
1.963609701238724e-004	-1.141445e+000	-1.133300e+000
