time	V(vd)	V(n001)	I(R1)
1.323107200221016e-009	2.740383e-002	4.481713e+000	-4.320279e-004
1.343107200221016e-009	2.944746e-002	4.168533e+000	-4.014537e-004
1.363107200221016e-009	3.131897e-002	3.789613e+000	-3.645199e-004
1.383107200221016e-009	3.298914e-002	3.350929e+000	-3.218091e-004
1.403107200221016e-009	3.443192e-002	2.859399e+000	-2.739947e-004
1.423107200221016e-009	3.562487e-002	2.322774e+000	-2.218308e-004
1.443107200221016e-009	3.654943e-002	1.749517e+000	-1.661399e-004
1.463107200221016e-009	3.719121e-002	1.148670e+000	-1.078005e-004
1.483107200221015e-009	3.754020e-002	5.297071e-001	-4.773245e-005
1.513107200221015e-009	3.750391e-002	-4.113095e-001	4.353472e-005
1.533107200221015e-009	3.710690e-002	-1.032609e+000	1.037569e-004
1.553107200221015e-009	3.641795e-002	-1.637623e+000	1.623713e-004
1.573107200221015e-009	3.544753e-002	-2.216810e+000	2.184535e-004
1.593107200221015e-009	3.421050e-002	-2.761038e+000	2.711188e-004
1.613107200221015e-009	3.272580e-002	-3.261722e+000	3.195368e-004
1.633107200221015e-009	3.101630e-002	-3.710967e+000	3.629439e-004
1.653107200221015e-009	2.910834e-002	-4.101687e+000	4.006552e-004
1.673107200221015e-009	2.703145e-002	-4.427722e+000	4.320762e-004
1.693107200221015e-009	2.481783e-002	-4.683929e+000	4.567112e-004
1.713107200221015e-009	2.250193e-002	-4.866267e+000	4.741717e-004
1.733107200221015e-009	2.011988e-002	-4.971862e+000	4.841822e-004
1.753107200221015e-009	1.770897e-002	-4.999047e+000	4.865848e-004
1.773107200221014e-009	1.530705e-002	-4.947394e+000	4.813418e-004
1.793107200221014e-009	1.295195e-002	-4.817719e+000	4.685356e-004
1.813107200221014e-009	1.068084e-002	-4.612064e+000	4.483684e-004
1.833107200221014e-009	8.529700e-003	-4.333675e+000	4.211581e-004
1.853107200221014e-009	6.532668e-003	-3.986941e+000	3.873340e-004
1.863107200221014e-009	5.601979e-003	-3.789613e+000	3.681045e-004
1.873107200221014e-009	4.721516e-003	-3.577330e+000	3.474294e-004
1.883107200221015e-009	3.894792e-003	-3.350929e+000	3.253901e-004
1.893107200221015e-009	3.125111e-003	-3.111303e+000	3.020737e-004
1.903107200221015e-009	2.415546e-003	-2.859399e+000	2.775721e-004
1.913107200221015e-009	1.768935e-003	-2.596209e+000	2.519822e-004
1.923107200221015e-009	1.187864e-003	-2.322774e+000	2.254048e-004
1.933107200221015e-009	6.746562e-004	-2.040171e+000	1.979449e-004
1.943107200221016e-009	2.313635e-004	-1.749517e+000	1.697109e-004
1.953107200221016e-009	-1.402428e-004	-1.451959e+000	1.408141e-004
1.963107200221016e-009	-4.386797e-004	-1.148670e+000	1.113687e-004
1.973107200221016e-009	-6.627591e-004	-8.408476e-001	8.149080e-005
1.983107200221016e-009	-8.115922e-004	-5.297071e-001	5.129833e-005
1.993107200221016e-009	-8.905147e-004	-2.164760e-001	2.091419e-005
2.000000000000000e-009	-9.096599e-004	6.432491e-015	-8.831650e-008
